"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-NAN,30.4,28.6,34.9,33.0,36.0,40.3,41.3,44.4,44.9,48.3,45.6,50.0,46.7,51.0,48.7,45.2,51.6,52.1,50.5,53.9,52.5,54.2,53.8,54.1,52.1,54.0,58.2,57.5
geoId-NBH,39.5,41.1,46.3,49.7,52.1,51.4,52.9,55.3,52.2,56.6,49.6,58.3,56.1,58.2,59.5,59.9,60.4,60.4,57.0,60.2,59.9,59.5,56.2,60.5,61.2,61.6,61.9,61.8
geoId-NTN,41.5,41.7,43.6,43.7,45.3,42.9,42.1,45.6,42.7,46.5,47.0,50.0,51.9,52.8,54.5,49.7,57.5,57.1,56.7,62.5,60.2,51.2,57.1,56.7,59.2,61.6,62.2,61.6
geoId-PTO,26.2,28.0,29.6,30.7,35.8,39.4,43.4,47.3,47.6,48.2,48.6,48.0,45.2,48.9,50.9,51.2,54.0,54.3,54.4,54.0,53.4,55.1,54.8,56.9,55.9,56.7,58.5,58.3
geoId-PYN,43.6,47.2,50.3,44.2,48.6,48.1,47.2,50.5,53.8,54.5,54.1,54.3,56.9,52.0,57.6,61.4,60.0,60.6,62.9,64.0,66.1,65.4,65.8,69.3,67.3,71.2,70.8,65.3
geoId-QBH,27.2,32.7,32.6,27.4,36.2,41.4,40.2,43.1,43.7,46.6,46.0,47.2,43.2,47.8,47.9,45.0,49.3,49.1,47.1,51.2,50.9,51.2,51.4,52.4,50.0,51.4,54.5,51.0
geoId-QNM,29.0,31.7,31.3,32.4,33.5,34.9,37.1,39.1,43.7,44.4,43.5,46.1,47.0,44.3,45.5,48.4,47.7,50.5,50.1,53.4,52.1,50.9,53.1,53.7,53.3,54.1,55.9,52.6
geoId-QNI,28.8,33.6,32.1,34.9,37.5,36.0,38.5,40.6,45.5,48.2,49.4,50.2,51.5,48.0,51.0,53.8,52.5,55.3,55.1,57.2,56.5,54.9,58.1,58.9,58.8,58.8,60.4,58.2
geoId-QNH,25.9,29.2,30.8,32.3,34.0,36.4,38.1,40.5,43.5,44.6,45.5,42.9,45.1,44.8,45.2,46.7,48.4,49.7,48.9,49.0,49.9,50.1,47.1,50.8,50.6,51.6,51.9,51.9
geoId-QTI,28.6,32.6,34.6,28.3,39.2,41.7,39.4,43.3,42.8,46.0,44.5,46.5,46.1,46.3,44.3,44.3,46.3,49.1,44.7,51.5,50.2,52.8,48.4,54.3,54.1,54.5,55.6,46.7
geoId-STG,39.5,35.9,35.7,40.2,42.3,43.7,43.7,46.3,46.1,48.4,50.8,49.4,49.2,54.0,53.2,56.3,59.9,61.5,59.4,62.3,62.7,59.3,60.5,60.6,61.0,58.8,62.8,61.4
