"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-SLA,37.7,38.5,37.9,36.8,35.9,34.8,33.3,31.7,30.1,30.3,30.0,30.3,41.7,36.4,36.4,35.1,34.7,38.1,45.6,42.9,40.5,39.9,38.9,38.6,38.4,39.1,38.4,37.1
geoId-THA,137.0,137.0,137.8,136.2,138.0,138.6,137.6,137.6,136.2,136.0,133.9,135.3,135.7,136.5,136.8,132.3,135.0,134.1,133.8,134.6,132.4,130.5,128.3,124.9,119.7,115.0,116.6,115.0
geoId-TBH,86.0,85.7,86.6,87.0,87.1,87.6,87.4,86.6,85.9,85.2,84.4,83.8,83.2,84.1,83.9,83.7,83.3,81.7,81.3,81.3,80.9,80.4,79.6,78.9,77.6,77.4,76.7,76.0
geoId-TNN,37.5,42.2,42.0,42.1,43.2,42.7,42.7,42.6,42.0,41.9,41.8,41.5,41.7,41.5,41.2,41.5,41.6,42.4,42.1,42.1,41.9,41.3,40.8,40.6,40.2,39.9,39.4,39.0
geoId-TTH,1.0,1.0,1.1,0.6,0.6,0.7,0.7,0.7,0.6,0.7,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.8,0.7,0.6,0.6,0.6,0.7,0.6,0.4,0.4,0.2,0.2
geoId-TGG,11.4,8.9,7.6,6.2,3.3,2.8,2.3,,,,,,,,,,,,,,,,,,,,,
geoId-HCM,54.7,53.8,51.6,48.5,50.1,47.6,41.0,33.0,27.7,26.5,23.7,19.7,17.5,15.9,13.6,11.3,10.6,10.0,9.0,8.8,8.2,7.8,7.6,6.5,5.9,5.9,6.0,5.7
geoId-NT,418.7,416.9,415.4,417.3,424.7,424.9,425.8,425.6,422.4,426.6,425.1,423.3,435.7,427.6,430.3,429.9,430.2,432.4,441.2,439.1,432.8,429.6,429.5,424.2,421.6,418.5,417.2,415.1
geoId-TVH,84.3,53.8,81.5,81.5,94.8,97.0,98.5,95.9,96.0,95.0,93.9,92.6,93.2,90.3,93.4,91.8,90.9,89.0,90.4,89.2,2.6,2.4,2.4,1.7,2.2,2.3,1.3,1.1
geoId-TQG,26.4,26.2,26.1,26.8,26.5,26.6,27.0,26.9,26.8,26.7,26.1,26.1,26.0,25.7,25.8,25.7,25.8,25.7,25.6,25.5,25.4,25.1,25.3,25.2,25.1,25.2,25.1,24.9
geoId-TNN,143.1,125.2,126.3,122.9,119.6,126.1,125.2,126.1,130.3,131.0,131.7,135.9,134.3,136.2,136.6,136.7,140.1,142.7,146.1,146.0,146.3,148.6,150.8,152.2,149.7,151.5,152.4,152.6
geoId-TNH,74.0,81.1,73.4,73.5,80.0,77.8,75.2,72.3,73.0,71.2,64.6,56.2,56.3,59.2,57.8,56.4,56.8,56.4,50.8,50.4,50.9,51.9,52.9,51.9,50.1,51.2,50.7,50.6
geoId-VLG,9.3,4.7,4.5,2.4,2.1,3.8,2.5,2.3,2.4,1.8,,,,,,,,,,,,,,,,,,
geoId-VPC,35.1,32.4,33.8,36.8,37.3,36.8,33.2,36.2,36.2,35.8,34.6,33.7,33.6,28.1,29.1,28.4,28.5,28.3,28.1,27.8,27.6,27.2,26.6,25.6,23.9,24.0,24.0,23.7
geoId-YBI,24.3,24.4,24.7,27.4,24.6,24.8,25.0,24.5,24.7,24.8,24.3,24.4,24.4,22.7,23.9,23.6,23.3,22.2,21.8,21.9,21.9,23.0,22.9,22.4,23.2,23.2,23.1,23.0
geoId-DBN,,,,,,,,,,32.5,32.7,33.6,34.7,35.6,37.0,38.5,39.6,40.1,40.7,40.9,40.6,41.1,41.1,42.0,42.1,42.8,43.9,45.3
geoId-DNG,5.6,5.6,5.9,5.0,5.2,5.0,5.3,4.3,4.4,4.3,3.6,3.8,3.8,3.9,3.8,3.3,3.0,2.7,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.2,2.2,2.3
geoId-ST,219.9,219.0,213.7,207.3,218.4,210.4,197.1,183.7,178.7,174.4,160.0,143.2,138.2,137.5,131.5,124.5,122.1,121.1,112.6,109.7,107.8,107.6,106.0,101.3,97.7,96.6,94.9,92.2
geoId-DLK,54.4,47.6,46.3,43.7,42.3,45.2,44.2,45.8,49.3,41.9,40.4,44.7,45.9,49.1,48.5,50.3,53.3,54.4,57.9,57.5,57.7,59.7,61.9,64.2,63.8,65.1,67.0,68.1
geoId-DNG1,,,,,,,,,,8.4,10.1,8.6,7.8,7.6,7.6,7.0,7.8,7.8,7.9,8.0,7.9,8.0,8.1,8.6,8.0,7.8,8.0,7.9
geoId-MRD,757.3,671.0,716.4,635.6,597.0,543.6,442.9,420.2,378.0,390.8,372.3,363.7,377.4,392.6,410.6,376.1,375.4,391.3,405.5,394.0,239.9,197.7,184.3,197.2,171.3,169.3,150.7,171.2
geoId-RRD,632.7,614.4,633.2,639.4,641.4,643.0,633.5,632.4,623.7,612.8,601.9,594.3,586.6,586.9,584.2,581.4,578.5,573.5,568.6,564.8,557.9,548.3,535.2,516.4,497.3,484.4,478.9,469.4
geoId-DNI,32.8,34.1,35.9,38.0,39.4,40.2,39.0,37.4,36.5,36.9,36.4,33.9,33.4,32.1,31.0,28.2,28.2,28.0,27.4,26.5,25.4,25.1,23.7,21.6,21.1,19.3,18.7,18.1
geoId-DTP,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
