"Tỉnh, thành phố",Năm,Tổng diện tích rừng,Rừng tự nhiên,Rừng trồng,Mới trồng,Tỷ lệ che phủ rừng (%)
geoId-AGG,2008,14.1,0.6,13.5,0.3,3.9
geoId-AGG,2009,13.4,0.6,12.8,,3.6
geoId-AGG,2010,13.8,0.6,13.2,0.3,3.8
geoId-AGG,2011,12.5,0.6,11.9,0.3,3.4
geoId-AGG,2012,12.3,0.6,11.7,0.3,3.4
geoId-AGG,2013,12.3,0.6,11.8,0.4,3.4
geoId-AGG,2014,12.2,0.6,11.6,0.3,3.3
geoId-AGG,2015,12.2,0.6,11.7,0.8,3.3
geoId-AGG,2016,12.9,1.1,11.8,,3.2
geoId-AGG,2018,13.7,1.1,12.6,,3.3
geoId-AGG,2019,13.7,1.1,12.5,,3.6
geoId-AGG,2020,13.8,1.1,12.7,,3.7
geoId-AGG,2021,13.8,1.1,12.7,,3.7
geoId-AGG,2022,13.9,1.1,12.8,,3.7
geoId-BR-VT,2008,26.8,14.9,11.9,0.5,13.2
geoId-BR-VT,2009,26.8,14.5,12.3,,12.9
geoId-BR-VT,2010,26.7,14.4,12.3,1.0,12.9
geoId-BR-VT,2011,26.1,14.0,12.1,0.5,12.9
geoId-BR-VT,2012,26.0,14.1,11.9,1.2,12.5
geoId-BR-VT,2013,26.1,14.5,11.6,0.9,12.6
geoId-BR-VT,2014,25.6,14.2,11.4,0.4,12.7
geoId-BR-VT,2015,25.4,14.2,11.2,0.5,12.5
geoId-BR-VT,2016,28.3,16.4,11.9,,13.7
geoId-BR-VT,2018,28.2,16.3,11.9,,13.6
geoId-BR-VT,2019,28.4,16.3,12.0,,13.5
geoId-BR-VT,2020,28.4,16.3,12.1,,13.7
geoId-BR-VT,2021,28.6,16.5,12.1,,13.8
geoId-BR-VT,2022,28.5,16.4,12.1,,13.8
geoId-BDG,2008,9.3,1.2,8.1,0.0,3.4
geoId-BDG,2009,9.2,1.1,8.1,,3.4
geoId-BDG,2010,9.3,1.1,8.1,,3.4
geoId-BDG,2011,9.3,1.1,8.2,,3.4
geoId-BDG,2012,10.2,1.0,9.2,0.0,3.8
geoId-BDG,2013,10.2,1.0,9.3,0.2,3.7
geoId-BDG,2014,10.2,1.0,9.3,0.2,3.7
geoId-BDG,2015,10.2,1.0,9.3,,3.8
geoId-BDG,2016,10.4,1.8,8.6,,3.4
geoId-BDG,2018,10.3,1.8,8.5,,3.2
geoId-BDG,2019,10.0,1.8,8.2,,3.1
geoId-BDG,2020,9.9,1.8,8.1,,3.1
geoId-BDG,2021,9.9,1.8,8.1,,3.0
geoId-BDG,2022,9.9,1.8,8.1,,3.0
geoId-BPC,2008,132.3,106.6,25.7,13.7,17.2
geoId-BPC,2009,113.9,95.2,18.7,,15.0
geoId-BPC,2010,116.7,70.9,45.8,20.0,13.5
geoId-BPC,2011,116.5,62.8,53.7,24.5,13.4
geoId-BPC,2012,160.6,58.9,101.7,26.5,19.5
geoId-BPC,2013,160.3,58.6,101.7,12.0,21.6
geoId-BPC,2014,160.4,58.3,102.1,1.0,22.7
geoId-BPC,2015,159.3,57.4,101.9,0.9,23.1
geoId-BPC,2016,161.2,56.4,104.8,,21.6
geoId-BPC,2018,160.6,56.1,104.5,,22.8
geoId-BPC,2019,160.7,56.1,104.6,,22.8
geoId-BPC,2020,160.6,55.9,104.7,,23.0
geoId-BPC,2021,159.5,55.8,103.7,,22.8
geoId-BPC,2022,159.4,55.9,103.5,,22.8
geoId-BTN,2008,284.3,257.4,26.9,0.3,36.3
geoId-BTN,2009,283.9,253.6,30.2,,35.8
geoId-BTN,2010,286.6,252.7,33.8,8.6,35.5
geoId-BTN,2011,300.5,257.3,43.2,2.1,38.2
geoId-BTN,2012,300.1,256.9,43.2,4.1,37.0
geoId-BTN,2013,295.6,256.8,38.8,3.7,37.4
geoId-BTN,2014,292.9,254.8,38.1,2.2,37.2
geoId-BTN,2015,326.4,287.0,39.4,15.5,39.8
geoId-BTN,2016,326.2,286.8,39.4,,40.3
geoId-BTN,2018,326.1,286.8,39.3,,40.3
geoId-BTN,2019,340.5,288.7,51.8,,43.1
geoId-BTN,2020,342.0,288.7,53.3,,43.0
geoId-BTN,2021,342.6,288.6,54.0,,43.0
geoId-BTN,2022,349.6,296.9,52.7,,43.0
geoId-BDH,2008,261.9,187.2,74.7,12.8,41.2
geoId-BDH,2009,272.0,194.8,77.2,,43.6
geoId-BDH,2010,287.5,199.4,88.1,9.1,45.8
geoId-BDH,2011,299.4,204.0,95.4,13.6,47.2
geoId-BDH,2012,304.7,204.2,100.5,13.0,48.2
geoId-BDH,2013,311.9,204.8,107.1,16.7,48.8
geoId-BDH,2014,316.6,204.9,111.7,11.0,49.9
geoId-BDH,2015,329.5,207.7,121.8,12.4,52.2
geoId-BDH,2016,383.6,217.4,166.2,,52.5
geoId-BDH,2018,383.1,216.9,166.2,,54.9
geoId-BDH,2019,380.6,216.2,164.4,,55.2
geoId-BDH,2020,379.4,215.3,164.1,,56.0
geoId-BDH,2021,380.1,214.6,165.5,,56.5
geoId-BDH,2022,381.1,214.5,166.6,,56.5
geoId-BLU,2008,4.3,2.3,2.0,0.0,1.7
geoId-BLU,2009,4.2,2.4,1.9,,1.7
geoId-BLU,2010,4.0,2.0,2.0,0.0,1.6
geoId-BLU,2011,4.0,2.0,2.0,,1.6
geoId-BLU,2012,3.4,1.6,1.8,,1.6
geoId-BLU,2013,3.4,1.6,1.8,,1.4
geoId-BLU,2014,4.6,1.9,2.7,,1.9
geoId-BLU,2015,4.6,1.9,2.7,0.1,1.8
geoId-BLU,2016,4.6,1.9,2.7,,1.8
geoId-BLU,2018,4.7,1.9,2.8,,1.8
geoId-BLU,2019,4.5,1.8,2.7,,1.7
geoId-BLU,2020,4.8,2.0,2.8,,1.8
geoId-BLU,2021,4.5,1.9,2.6,,1.6
geoId-BLU,2022,4.5,1.9,2.6,,1.6
geoId-BGG,2008,156.9,68.0,88.9,17.2,36.5
geoId-BGG,2009,159.0,65.4,93.6,,37.6
geoId-BGG,2010,127.3,62.7,64.6,13.4,29.4
geoId-BGG,2011,144.4,63.6,80.8,13.4,34.1
geoId-BGG,2012,145.7,63.6,82.1,8.9,35.5
geoId-BGG,2013,149.4,62.5,86.9,9.0,36.5
geoId-BGG,2014,152.4,61.9,90.5,9.9,37.0
geoId-BGG,2015,156.4,60.2,96.2,14.5,36.4
geoId-BGG,2016,159.0,58.4,100.6,,37.2
geoId-BGG,2018,160.3,56.6,103.7,,37.6
geoId-BGG,2019,160.5,56.1,104.4,,37.8
geoId-BGG,2020,160.7,55.7,105.0,,38.0
geoId-BGG,2021,160.4,55.5,104.9,,38.0
geoId-BGG,2022,160.2,55.1,105.1,,38.0
geoId-BKN,2008,274.3,228.7,45.6,3.2,55.7
geoId-BKN,2009,281.3,230.0,51.3,,56.6
geoId-BKN,2010,288.1,229.0,59.1,8.9,57.5
geoId-BKN,2011,296.9,226.7,70.2,11.7,58.7
geoId-BKN,2012,367.5,294.2,73.3,24.6,70.6
geoId-BKN,2013,368.9,288.9,80.0,24.9,70.8
geoId-BKN,2014,370.0,285.3,84.7,22.8,70.8
geoId-BKN,2015,370.2,281.7,88.6,25.4,71.0
geoId-BKN,2016,370.4,279.3,91.1,,71.4
geoId-BKN,2018,371.9,274.7,97.2,,72.6
geoId-BKN,2019,371.9,274.1,97.9,,72.9
geoId-BKN,2020,372.7,273.4,99.3,,73.4
geoId-BKN,2021,373.1,272.8,100.3,,73.4
geoId-BKN,2022,373.6,272.4,101.2,,73.4
geoId-BNH,2008,0.6,,0.6,0.2,0.5
geoId-BNH,2009,0.6,,0.6,,0.7
geoId-BNH,2010,0.6,,0.6,,0.7
geoId-BNH,2011,0.6,,0.6,,0.7
geoId-BNH,2012,0.6,,0.6,,0.7
