Tỉnh/Thành phố,Thời gian,CSTP 9: Đào tạo lao động,Tỉ lệ DN đánh giá Giáo dục phổ thông tại tỉnh có chất lượng Tốt(%),Tỉ lệ DN đánh giá Giáo dục dạy nghề tại tỉnh có chất lượng Tốt(%),DN từng sử dụng dịch vụ Giới thiệu việc làm (GTVL) tại tỉnh (%),DN đã sử dụng nhà cung cấp tư nhân cho dịch vụ GTVL (%),DN có ý định tiếp tục sử dụng dịch vụ GTVL (%),Phần trăm tổng chi phí kinh doanh dành cho Đào tạo lao động (%),Phần trăm tổng chi phí kinh doanh dành cho Tuyển dụng lao động (%),Lao động tại tỉnh đáp ứng được nhu cầu sử dụng của DN (%),"Tỉ lệ lao động qua đào tạo /số lao động chưa qua đào tạo(%, BLĐTBXH)","Tỉ lệ lao động qua đào tạo trên tổng lực lượng lao động (%, BLĐTBXH)",Tỉ lệ lao động qua đào tạo đang làm việc tại DN (%)
geoId-HDG,201700,6.909990310668945,0.5503876209259033,0.39694657921791077,0.6551724076271057,0.6842105388641357,0.6315789222717285,6.3065,5.117450980392157,0.9159663915634155,0.09587877243757248,0.112401582300663,44.799120879120885
geoId-HPG,201700,8.17457389831543,0.5296803712844849,0.3652968108654022,0.6499999761581421,0.8461538553237915,0.6346153616905212,5.83933734939759,3.9475483870967736,0.9516128897666931,0.16289040446281433,0.1353265941143036,57.33195804195804
geoId-HGG,201700,5.168202877044678,0.653333306312561,0.3947368562221527,0.5555555820465088,0.800000011920929,0.699999988079071,8.216326530612246,7.549999999999999,0.9420289993286133,0.014941220171749592,0.021679455414414406,48.39807692307692
geoId-HBH,201700,6.549816608428955,0.5773195624351501,0.3163265287876129,0.6315789222717285,0.5833333134651184,0.5,6.868831168831169,3.4543076923076916,0.875,0.06171762943267822,0.09432639926671982,58.22676056338029
geoId-HYN,201700,7.1626458168029785,0.5567010045051575,0.3195876181125641,0.5666666626930237,0.9411764740943909,0.47058823704719543,5.6332530120481925,4.004246575342465,0.8736842274665833,0.10645533353090286,0.10699187219142914,45.41688311688311
geoId-KHA,201700,6.251628875732422,0.5054945349693298,0.38297873735427856,0.7428571581840515,0.6538461446762085,0.6538461446762085,6.164084507042253,8.046216216216218,0.8651685118675232,0.053461670875549316,0.0828404426574707,57.79264705882353
geoId-KGG,201700,5.794426918029785,0.5670102834701538,0.3333333432674408,0.5357142686843872,0.6666666865348816,0.6000000238418579,5.031212121212121,5.124242424242425,0.9146341681480408,0.02827567048370838,0.041175197809934616,41.483333333333334
geoId-KTM,201700,5.566648960113525,0.5339806079864502,0.3047619163990021,0.5853658318519592,0.5,0.5416666865348816,5.812967032967033,4.105617977528089,0.8627451062202454,0.02929309569299221,0.053810037672519684,44.98594202898551
geoId-LCU,201700,5.457825660705566,0.4193548262119293,0.25806450843811035,0.6499999761581421,0.6153846383094788,0.5384615659713745,5.366164383561643,4.863466666666667,0.7529411911964417,0.03361808881163597,0.06402255594730377,42.99285714285714
Lâm Đồng,201700,6.5355224609375,0.65625,0.42424243688583374,0.5714285969734192,0.6428571343421936,0.8214285969734192,4.578725490196079,5.882233009708738,0.9107142686843872,0.05157749354839325,0.07343932241201401,47.415280898876404
