Tỉnh/Thành phố,Thời gian,CSTP 3: Tính Minh bạch,Tiếp cận tài liệu quy hoạch (1=Không thể; 5=Rất dễ),Tiếp cận tài liệu pháp lý  (1=Không thể; 5=Rất dễ),Các tài liệu về ngân sách đủ chi tiết để DN sử dụng cho hoạt động kinh doanh (%),Thông tin mời thầu được công khai(%),"Tỉ lệ DN nhận được thông tin, văn bản sau khi đề nghị CQNN của tỉnh cung cấp (%)","Số ngày để nhận được thông tin, văn bản sau khi đã đề nghị cung cấp (trung vị)",Cần có 'mối quan hệ' để có được các tài liệu của tỉnh (%),'Thỏa thuận' khoản thuế phải nộp với CB thuế là công việc quan trọng(%),Dự liệu được việc thực thi của tỉnh đối với QĐPL của TW (% chắc chắn),"Vai trò HHDN trong việc xây dựng chính sách, quy định của tỉnh (% lớn/rất lớn)",Điểm số về độ mở và chất lượng trang web của tỉnh (Nhóm nghiên cứu PCI),Tỉ lệ DN truy cập vào website của tỉnh (%)
geoId-PYN,201700,5.885382652282715,2.3600823879241943,3.0759716033935547,0.8823529481887817,0.38235294818878174,0.8235294222831726,4.0,0.7777777910232544,0.5432098507881165,0.056338027119636536,0.42424243688583374,27.0,0.7111111283302307
geoId-QBH,201700,5.672749042510986,2.4134020805358887,2.907823085784912,0.8064516186714172,0.4893617033958435,0.6000000238418579,6.5,0.7941176295280457,0.5666666626930237,0.0595238097012043,0.47826087474823,33.0,0.6435643434524536
geoId-QNM,201700,6.797084331512451,2.6329166889190674,3.147334098815918,0.8571428656578064,0.5454545617103577,0.8064516186714172,4.0,0.6747967600822449,0.5858585834503174,0.021052632480859756,0.5357142686843872,39.0,0.7421875
geoId-QNI,201700,6.698854446411133,2.5992064476013184,3.167212724685669,0.8787878751754761,0.517241358757019,0.7333333492279053,2.5,0.7321428656578064,0.5909090638160706,0.07228915393352509,0.4423076808452606,34.5,0.7894737124443054
geoId-QNH,201700,6.804978370666504,2.6042892932891846,3.1930124759674072,0.8399999737739563,0.52173912525177,0.59375,2.5,0.6000000238418579,0.5398229956626892,0.02521008439362049,0.4933333396911621,39.0,0.7816901206970215
geoId-QTI,201700,6.5870819091796875,2.5362846851348877,3.1536457538604736,0.9642857313156128,0.52173912525177,0.625,5.0,0.7319587469100952,0.5,0.10389610379934311,0.5454545617103577,27.5,0.8061224222183228
geoId-STG,201700,6.284082889556885,2.438202142715454,3.0981807708740234,0.9166666865348816,0.38461539149284363,0.7272727489471436,3.0,0.7032967209815979,0.604938268661499,0.0422535203397274,0.6111111044883728,32.5,0.704081654548645
geoId-SLA,201700,6.409369945526123,2.5309524536132812,3.0576324462890625,0.7441860437393188,0.5471698045730591,0.75,3.0,0.7297297120094299,0.6022727489471436,0.0833333358168602,0.3636363744735718,30.0,0.8090909123420715
geoId-HCM,201700,6.155145645141602,2.256124973297119,2.9706127643585205,0.800000011920929,0.5319148898124695,0.5686274766921997,7.0,0.5808581113815308,0.5684647560119629,0.04724409431219101,0.3173076808452606,45.0,0.6771159768104553
geoId-TTH,201700,6.531538963317871,2.637152671813965,3.1370370388031006,0.8399999737739563,0.44736841320991516,0.8999999761581421,4.35,0.8041236996650696,0.5882353186607361,0.06493506580591202,0.3921568691730499,37.0,0.7669903039932251
