"Tỉnh, thành phố",1995,1996,1997,1988,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-NBH,3.6,3.6,3.6,3.7,3.7,3.7,3.9,5.9,5.9,7.1,7.6,8.4,9.0,9.5,9.7,9.4,9.5,9.7,10.3,10.7,10.9,11.7,12.7,12.9,14.0,14.4,14.3,14.4
geoId-NTN,0.6,0.6,0.5,0.4,0.6,0.7,1.1,1.5,1.9,2.1,1.4,1.8,1.5,1.3,0.9,1.3,1.1,1.2,1.0,1.3,1.2,0.9,1.2,1.2,1.1,1.0,1.0,1.0
geoId-PTO,2.8,3.9,3.6,3.4,3.9,4.7,4.7,6.6,7.0,7.3,7.6,8.5,9.1,9.1,9.6,9.7,9.9,9.7,9.8,10.1,10.1,10.3,11.2,10.7,10.9,11.2,11.2,11.0
geoId-PYN,0.9,1.0,1.1,2.2,2.6,2.8,3.1,2.7,2.7,3.1,2.3,2.6,2.3,2.3,2.8,3.0,3.0,2.8,3.0,3.0,2.7,2.6,2.6,2.7,2.6,2.6,2.6,2.7
geoId-QBH,0.6,1.1,1.1,1.2,1.3,1.4,1.6,2.0,2.1,2.7,3.1,3.5,3.7,3.9,4.4,4.7,4.6,4.7,4.7,5.0,5.1,5.7,5.9,6.5,6.8,7.0,5.2,5.1
geoId-QNM,4.3,4.4,4.5,4.5,4.7,4.9,5.3,5.6,6.0,6.0,6.3,7.2,7.5,7.0,7.4,4.5,4.8,4.8,4.7,4.9,5.0,5.1,5.2,5.5,5.5,5.4,5.2,5.1
geoId-QNI,0.4,0.5,0.4,0.5,0.5,0.5,0.8,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.4,1.4,1.4,2.0,2.1,1.9,2.0,1.9,1.9,1.9,2.0,2.1,2.0,2.0
geoId-QNH,8.3,14.5,13.6,13.7,13.8,13.2,14.2,15.2,17.0,17.3,18.6,18.8,19.0,19.0,19.6,19.1,19.2,22.8,19.1,18.5,19.1,19.0,20.1,20.8,21.0,23.5,27.7,29.0
geoId-QTI,0.7,0.8,0.8,0.7,0.8,0.9,1.1,1.2,1.6,1.9,2.2,2.4,2.5,2.5,2.9,3.1,3.1,3.1,3.3,3.4,3.4,3.3,3.3,3.4,3.5,3.5,3.7,3.6
geoId-STG,3.0,24.1,28.5,25.8,30.5,41.4,53.2,48.3,57.1,59.0,64.9,64.3,62.0,67.7,69.2,71.5,67.1,64.8,68.2,68.4,68.8,69.5,74.1,77.9,78.9,76.3,61.4,58.9
geoId-SLA,0.9,0.9,1.0,0.9,0.9,1.0,1.0,1.5,1.5,1.5,1.6,2.0,2.5,2.4,2.5,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.9,2.9,2.9,2.9,2.9,3.0
geoId-THA,16.9,12.6,13.0,13.5,14.6,10.6,10.3,12.0,12.2,12.9,13.0,12.9,13.4,13.4,13.6,13.9,14.1,14.5,15.0,15.3,16.2,16.3,17.1,18.5,20.1,20.1,34.4,33.1
geoId-TBH,9.1,8.8,8.2,8.2,9.5,9.5,9.6,10.0,10.4,11.2,12.2,12.7,13.0,13.0,13.4,12.9,13.0,17.0,14.6,14.0,14.1,14.3,14.6,14.6,15.3,15.4,15.9,16.1
geoId-TNN,3.6,7.2,3.2,4.5,2.0,2.3,2.3,3.0,4.5,4.5,4.5,4.5,4.5,4.6,4.8,4.6,4.5,4.8,4.8,4.9,5.8,5.8,5.8,5.9,5.9,5.9,5.5,5.5
geoId-TTH,1.5,1.9,1.9,2.0,2.3,2.7,3.6,3.9,4.6,5.1,5.2,5.3,5.4,5.5,5.7,5.8,5.8,6.2,7.2,7.5,7.2,7.1,7.1,7.4,7.5,7.6,7.6,7.7
geoId-TGG,9.6,9.2,9.1,9.1,9.8,8.4,8.8,9.6,10.8,11.9,12.1,12.4,12.9,12.6,12.6,13.1,14.1,14.4,15.4,15.7,15.6,15.8,15.8,14.8,15.6,14.8,7.9,8.7
geoId-HCM,3.4,3.1,3.5,3.1,4.2,4.2,5.4,5.9,7.7,8.6,9.7,10.7,9.9,9.3,8.5,8.2,8.9,7.5,6.8,6.7,8.0,8.1,7.6,7.3,6.9,7.1,6.7,7.1
geoId-NT,17.8,22.3,18.7,20.2,18.4,20.2,20.9,25.1,28.7,29.8,31.1,33.8,36.2,37.9,40.0,40.6,41.2,41.5,43.2,43.8,45.5,46.1,46.8,47.8,49.1,49.7,48.3,48.8
geoId-TVH,22.6,25.0,30.0,35.0,36.0,52.6,54.3,25.2,30.2,32.5,38.7,41.3,42.5,36.4,34.0,32.8,29.1,40.4,36.9,30.8,29.5,30.4,32.4,32.5,36.0,41.5,31.7,33.5
geoId-TQG,1.3,0.8,1.4,1.1,1.2,1.3,1.4,1.6,1.6,1.7,1.8,2.0,2.2,2.2,2.1,2.1,2.3,2.5,3.0,2.9,3.0,3.0,3.1,3.3,3.4,3.4,3.4,3.4
geoId-TNN,4.2,4.3,4.6,4.8,4.7,5.1,5.7,5.7,6.2,6.6,8.3,8.5,9.3,10.7,11.4,11.5,10.6,12.5,12.6,12.5,12.8,12.7,12.7,12.8,13.2,12.3,13.2,11.7
geoId-TNH,0.1,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.8,0.7,0.6,0.6,0.5,0.5
geoId-VLG,1.2,1.1,1.1,1.2,1.2,1.4,1.3,1.4,1.5,1.6,1.8,2.3,2.3,2.4,2.5,2.4,2.5,2.5,2.6,2.4,2.4,2.4,2.4,2.4,2.6,2.5,2.3,2.4
geoId-VPC,1.9,2.9,3.0,2.4,3.3,3.6,3.9,4.1,4.5,4.9,5.6,5.8,5.9,6.2,7.0,7.0,7.0,7.0,6.9,6.9,7.0,6.9,6.9,7.0,6.8,6.7,6.5,6.4
geoId-YBI,1.6,1.7,1.7,1.7,1.7,1.8,1.9,1.9,2.3,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5
geoId-DBN,,,,,,,,,1.3,1.4,1.4,1.6,1.7,1.7,1.8,1.9,1.9,1.9,2.2,2.0,2.1,2.1,2.2,2.3,2.6,2.6,2.1,2.7
geoId-DNG,0.5,0.6,0.5,0.7,0.5,0.7,0.7,0.8,0.8,0.8,0.7,0.6,0.7,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.2,0.3,0.2
geoId-ST,33.9,33.1,33.5,32.7,35.9,40.2,41.5,44.1,47.4,50.5,51.8,52.3,53.4,52.7,52.0,26.4,26.9,29.0,27.4,25.4,26.9,26.8,26.5,26.4,26.2,25.3,19.9,20.7
geoId-DLK,2.9,3.0,3.0,3.1,3.3,3.3,3.9,4.0,3.5,3.6,5.0,5.0,5.4,6.3,6.7,5.8,4.5,6.3,6.3,6.6,6.6,6.6,6.6,6.6,6.6,6.3,7.5,6.0
geoId-DNG1,,,,,,,,,0.6,0.6,0.7,0.7,0.7,0.9,0.9,0.9,1.1,1.1,1.2,1.3,1.4,1.3,1.4,1.6,1.7,1.7,1.6,1.7
geoId-MRD,289.4,316.5,327.1,341.8,332.9,445.3,546.8,570.4,621.3,658.5,680.2,691.2,723.8,752.2,738.8,740.9,750.0,733.3,751.2,756.8,758.6,769.7,794.5,807.1,821.6,801.3,772.4,779.0
geoId-RRD,67.0,80.6,76.7,76.8,80.7,81.5,85.6,92.2,97.9,102.0,107.8,113.1,117.2,121.2,124.6,124.0,124.2,133.0,126.1,127.7,127.4,128.2,134.1,135.3,137.0,139.3,136.8,138.7
geoId-DNI,26.9,25.9,26.0,26.1,27.9,30.5,29.6,30.2,31.1,31.5,31.4,30.5,32.3,32.5,33.3,7.9,7.8,11.1,10.2,8.4,8.8,8.9,9.0,8.8,9.1,8.9,4.6,5.2
geoId-DTP,3.2,1.2,1.4,1.7,1.8,1.9,2.3,2.6,2.6,3.2,3.6,4.5,5.0,5.8,5.0,4.8,4.9,5.3,5.1,5.3,5.1,5.1,5.4,5.6,5.7,5.7,5.7,6.0
