Năm,"Tỉnh, thành phố",1,2,3,4,5,6,7,8,9,10,11,12
2006,geoId-HNI,74.0,86.0,84.0,80.0,78.0,75.0,78.0,83.0,72.0,76.0,76.0,75.0
2006,,84.0,82.0,83.0,80.0,76.0,75.0,64.0,67.0,77.0,79.0,79.0,79.0
2007,geoId-LCU,76.0,75.0,69.0,74.0,76.0,82.0,87.0,82.0,87.0,85.0,89.0,85.0
2007,geoId-SLA,75.0,67.0,72.0,76.0,78.0,84.0,87.0,87.0,84.0,82.0,80.0,83.0
2007,geoId-TQG,77.0,80.0,87.0,83.0,80.0,78.0,82.0,85.0,84.0,83.0,79.0,83.0
2007,,,,,,,,,,,,,
2007,,71.0,85.0,90.0,81.0,80.0,82.0,82.0,83.0,80.0,75.0,67.0,81.0
2007,geoId-NDH,76.0,87.0,92.0,84.0,83.0,78.0,78.0,85.0,84.0,83.0,73.0,85.0
2007,,87.0,89.0,92.0,85.0,79.0,71.0,70.0,78.0,81.0,87.0,80.0,89.0
2007,,93.0,87.0,90.0,87.0,85.0,77.0,76.0,82.0,88.0,94.0,92.0,92.0
2007,geoId-DNG,87.0,83.0,85.0,80.0,80.0,74.0,76.0,78.0,81.0,87.0,85.0,85.0
2007,,,,,,,,,,,,,
2007,,77.0,70.0,75.0,74.0,84.0,87.0,91.0,93.0,90.0,89.0,85.0,80.0
2007,,83.0,76.0,83.0,85.0,88.0,90.0,90.0,92.0,89.0,90.0,86.0,80.0
2007,,78.0,76.0,80.0,80.0,81.0,78.0,78.0,80.0,81.0,84.0,83.0,79.0
2007,,73.0,76.0,76.0,74.0,81.0,78.0,80.0,81.0,81.0,81.0,77.0,77.0
2007,geoId-CMU,80.0,79.0,79.0,77.0,84.0,85.0,87.0,86.0,86.0,87.0,82.0,79.0
2007,geoId-HNI,69.0,81.0,88.0,79.0,75.0,77.0,78.0,81.0,81.0,77.0,67.0,77.0
2007,,80.0,79.0,83.0,81.0,78.0,77.0,72.0,71.0,77.0,83.0,82.0,80.0
2008,geoId-LCU,80.0,80.0,80.0,81.0,82.0,88.0,90.0,89.0,85.0,85.0,84.0,82.0
2008,geoId-SLA,80.0,83.0,75.0,78.0,79.0,88.0,89.0,86.0,83.0,86.0,83.0,83.0
2008,geoId-TQG,81.0,78.0,82.0,84.0,80.0,82.0,82.0,84.0,84.0,85.0,83.0,81.0
2008,,,,,,,,,,,,,
2008,,81.0,74.0,85.0,84.0,80.0,87.0,84.0,87.0,83.0,78.0,72.0,74.0
2008,geoId-NDH,85.0,79.0,87.0,87.0,82.0,85.0,81.0,85.0,88.0,86.0,79.0,79.0
2008,,89.0,87.0,87.0,86.0,79.0,72.0,70.0,76.0,84.0,89.0,82.0,82.0
2008,,92.0,94.0,90.0,87.0,85.0,79.0,76.0,80.0,86.0,94.0,93.0,95.0
2008,geoId-DNG,85.0,80.0,85.0,82.0,81.0,77.0,75.0,78.0,81.0,88.0,85.0,87.0
2008,,,,,,,,,,,,,
2008,,77.0,76.0,75.0,76.0,88.0,87.0,89.0,90.0,91.0,89.0,83.0,81.0
2008,,85.0,81.0,82.0,83.0,90.0,88.0,89.0,91.0,91.0,88.0,89.0,85.0
2008,,81.0,79.0,81.0,81.0,80.0,78.0,76.0,78.0,81.0,81.0,85.0,82.0
2008,,76.0,72.0,76.0,75.0,80.0,79.0,79.0,80.0,80.0,80.0,80.0,76.0
2008,geoId-CMU,80.0,76.0,77.0,79.0,85.0,86.0,86.0,86.0,87.0,89.0,85.0,82.0
2008,geoId-HNI,80.0,72.0,82.0,84.0,79.0,81.0,79.0,83.0,80.0,80.0,76.0,75.0
2008,,81.0,78.0,80.0,79.0,77.0,76.0,71.0,73.0,78.0,85.0,85.0,81.0
2009,geoId-LCU,74.0,74.0,71.0,76.0,81.0,86.0,86.0,83.0,84.0,84.0,81.0,79.0
2009,geoId-SLA,77.0,71.0,70.0,76.0,78.0,82.0,85.0,83.0,82.0,80.0,74.0,79.0
2009,geoId-TQG,77.0,82.0,82.0,81.0,81.0,80.0,85.0,82.0,82.0,82.0,74.0,75.0
2009,,,,,,,,,,,,,
2009,,73.0,87.0,86.0,86.0,83.0,81.0,83.0,82.0,81.0,80.0,71.0,78.0
2009,geoId-NDH,78.0,88.0,89.0,89.0,86.0,79.0,83.0,83.0,85.0,82.0,73.0,81.0
2009,,83.0,85.0,87.0,85.0,83.0,64.0,72.0,81.0,83.0,84.0,81.0,87.0
2009,,91.0,90.0,89.0,89.0,87.0,79.0,80.0,81.0,88.0,89.0,91.0,92.0
2009,geoId-DNG,82.0,86.0,83.0,81.0,82.0,72.0,76.0,77.0,84.0,82.0,83.0,84.0
2009,,,,,,,,,,,,,
2009,,76.0,76.0,72.0,81.0,85.0,89.0,91.0,90.0,92.0,87.0,78.0,79.0
2009,,81.0,80.0,80.0,84.0,88.0,87.0,90.0,91.0,92.0,89.0,84.0,84.0
2009,,78.0,78.0,79.0,83.0,85.0,78.0,76.0,79.0,81.0,82.0,81.0,81.0
2009,,74.0,78.0,75.0,78.0,84.0,81.0,83.0,81.0,83.0,84.0,79.0,77.0
2009,geoId-CMU,80.0,82.0,78.0,81.0,84.0,81.0,86.0,84.0,87.0,85.0,81.0,79.0
2009,geoId-HNI,72.0,84.0,82.0,82.0,81.0,74.0,79.0,78.0,76.0,75.0,66.0,73.0
2009,,79.0,82.0,82.0,82.0,83.0,66.0,67.0,71.0,78.0,81.0,83.0,79.0
2010,geoId-LCU,77.0,71.0,64.0,75.0,78.0,84.0,86.0,83.0,85.0,82.0,82.0,83.0
2010,geoId-SLA,76.0,68.0,65.0,76.0,78.0,81.0,83.0,86.0,84.0,81.0,78.0,83.0
2010,geoId-TQG,77.0,82.0,82.0,80.0,80.0,79.0,84.0,81.0,81.0,81.0,73.0,75.0
2010,,,,,,,,,,,,,
