Năm,"Tỉnh, thành phố",1,2,3,4,5,6,7,8,9,10,11,12
2009,,203.2,208.8,303.2,231.1,171.5,213.2,195.6,235.7,158.5,217.0,185.5,252.6
2009,geoId-CMU,170.2,170.0,245.7,183.2,147.4,184.8,113.8,160.2,80.8,160.9,130.2,167.1
2010,geoId-LCU,151.1,208.9,151.4,192.4,234.5,126.8,127.1,173.9,153.3,139.8,151.6,103.0
2010,geoId-SLA,159.1,213.6,179.3,194.1,228.1,164.0,177.1,159.3,183.1,164.6,193.7,147.2
2010,geoId-TQG,89.1,77.1,57.5,102.7,156.9,190.4,157.3,226.2,188.0,134.8,129.3,68.7
2010,,34.2,94.2,53.0,51.1,124.8,158.5,180.5,121.3,146.1,108.6,104.6,79.1
2010,,39.2,57.0,34.9,34.7,91.4,147.1,218.4,118.4,162.8,151.8,135.2,94.7
2010,geoId-NDH,33.6,86.1,46.7,58.6,150.3,165.5,221.9,125.2,141.7,124.8,78.4,72.2
2010,,33.0,82.0,95.0,88.0,220.0,206.0,225.0,148.0,156.0,96.0,49.0,86.0
2010,,85.2,147.1,169.7,145.0,252.1,265.0,253.3,192.2,197.6,90.4,54.4,121.8
2010,geoId-DNG,39.1,87.4,107.4,104.4,207.9,212.2,237.6,108.8,145.3,69.3,29.7,84.9
2010,,186.3,239.8,247.7,268.6,306.9,272.7,262.1,260.6,210.3,115.5,23.0,135.1
2010,,275.1,240.8,262.7,210.1,192.2,170.0,109.9,151.5,91.3,157.6,214.4,248.0
2010,,216.5,194.6,228.7,167.0,154.5,172.3,127.3,143.8,73.4,142.3,172.5,236.2
2010,,212.6,256.9,235.1,280.4,304.3,289.1,227.9,218.2,229.4,95.2,76.5,101.7
2010,,203.2,208.8,303.2,231.1,171.5,213.2,195.6,235.7,158.5,217.0,185.5,252.6
2010,geoId-CMU,170.2,170.0,245.7,183.2,147.4,184.8,113.8,160.2,80.8,160.9,130.2,167.1
2011,geoId-LCU,47.7,177.6,99.5,156.9,174.0,107.2,166.8,179.1,154.0,140.3,164.9,96.4
2011,geoId-SLA,31.1,148.9,80.5,143.3,188.2,136.7,190.5,196.4,171.7,163.6,191.3,140.6
2011,geoId-TQG,1.3,35.6,28.0,70.8,171.3,158.4,196.8,214.2,144.0,109.2,155.7,104.3
2011,,4.0,37.9,15.0,57.0,138.5,127.2,151.4,151.0,102.7,76.8,106.5,95.6
2011,,13.3,55.8,22.7,86.6,156.8,168.4,196.6,177.5,146.0,122.8,173.5,110.8
2011,geoId-NDH,7.4,39.0,15.8,64.3,160.6,168.8,191.2,180.0,112.7,65.7,91.2,67.9
2011,,0.7,37.7,25.1,102.4,192.2,222.1,200.7,186.7,98.0,41.4,70.4,10.8
2011,,14.0,101.6,73.4,149.9,218.9,217.9,216.9,204.7,105.7,84.9,101.0,8.6
2011,geoId-DNG,39.8,161.9,113.0,174.8,258.7,222.9,232.8,231.1,105.5,107.7,115.3,18.1
2011,,58.0,202.1,108.1,252.6,280.4,249.4,261.5,272.3,164.8,147.4,143.2,38.9
2011,,231.4,260.8,201.6,251.8,203.4,108.9,138.7,151.1,73.2,144.1,219.1,230.8
2011,,162.5,218.3,142.4,188.3,179.5,128.8,144.6,178.2,96.3,150.7,184.9,138.3
2011,,80.4,214.7,112.9,257.9,285.9,269.1,275.1,293.2,192.6,193.0,154.3,45.2
2011,,158.2,244.7,202.8,249.9,222.4,193.7,203.0,238.3,151.0,221.5,200.1,149.7
2011,geoId-CMU,137.3,186.1,192.2,228.5,172.3,118.1,158.5,177.4,105.2,176.8,144.2,96.3
2012,geoId-LCU,115.6,174.7,153.0,250.4,182.4,83.0,100.3,167.1,115.4,182.8,151.7,170.1
2012,geoId-SLA,90.2,145.3,159.9,248.7,213.3,127.0,171.0,215.8,159.3,211.4,159.9,166.5
2012,geoId-TQG,15.3,16.0,57.4,166.2,194.9,121.2,173.5,224.1,145.1,138.3,82.9,37.6
2012,,4.8,18.5,24.3,94.9,0.0,107.7,145.4,160.3,112.0,99.9,99.7,42.2
2012,,11.5,16.0,12.7,77.4,162.2,110.4,152.9,168.2,157.0,143.8,85.5,49.4
2012,geoId-NDH,3.4,10.7,12.5,104.7,173.4,117.5,175.8,158.9,131.2,112.6,110.0,42.7
2012,,0.1,26.9,61.2,168.1,198.2,145.0,228.9,197.9,143.0,135.1,98.6,57.6
2012,,31.0,62.7,111.3,180.1,240.7,194.4,236.3,231.2,144.8,177.8,146.7,108.9
2012,geoId-DNG,63.9,127.0,177.7,209.9,258.2,183.5,242.0,219.4,168.5,162.5,156.2,132.5
2012,,119.9,183.7,222.1,275.2,299.9,220.7,240.9,248.1,196.2,185.9,199.2,175.7
2012,,235.8,257.9,235.4,233.0,207.8,137.1,151.8,130.7,139.0,205.3,254.7,281.3
