"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-NAN,79.1,78.6,80.1,80.7,72.7,82.1,84.4,85.0,85.2,83.7,83.5,84.3,84.1,84.5,86.3,87.5,88.4,88.7,88.7,90.2,91.7,91.5,92.1,92.4,92.4,92.3,91.7,91.6
geoId-NBH,40.9,41.3,41.6,41.9,42.0,42.4,42.7,42.4,42.2,42.0,41.5,41.3,41.0,41.1,41.5,41.6,41.6,41.9,41.9,41.8,41.7,41.6,41.1,40.6,40.6,40.2,39.9,39.8
geoId-NTN,9.6,8.1,10.2,9.3,11.5,11.4,11.4,11.1,11.4,11.4,4.6,12.2,10.2,12.0,13.2,13.1,14.3,14.3,15.0,16.0,12.8,14.8,16.7,17.0,17.1,12.0,17.4,17.9
geoId-PTO,35.9,34.4,36.5,36.5,32.3,36.3,36.9,37.9,38.3,37.1,37.9,37.9,37.0,35.1,36.9,35.5,35.8,36.7,36.7,37.0,37.2,37.1,37.0,36.8,36.5,36.3,36.1,35.8
geoId-PYN,23.1,23.7,23.9,24.3,24.5,24.5,25.3,25.1,25.2,25.4,25.3,25.3,25.5,25.6,25.7,26.1,26.4,26.3,26.9,26.9,26.9,26.9,26.8,26.9,26.6,26.5,26.6,26.8
geoId-QBH,25.2,25.5,25.5,25.8,25.9,25.9,26.4,26.4,26.7,26.8,27.0,26.9,27.1,27.2,27.2,28.3,28.6,28.9,29.0,29.6,30.1,30.1,30.0,29.9,29.5,29.6,29.6,29.4
geoId-QNM,42.3,42.0,41.5,41.5,41.4,41.2,42.1,42.5,42.7,42.1,41.3,40.8,40.4,40.8,41.9,42.3,42.9,43.3,43.1,43.6,43.5,43.0,42.7,42.5,42.2,41.9,41.5,41.6
geoId-QNI,34.3,34.1,34.6,34.3,34.2,33.9,35.5,35.5,36.4,36.6,36.7,36.8,36.7,36.3,36.6,37.0,37.0,37.6,38.9,38.6,39.3,39.1,38.8,38.4,38.2,38.0,38.0,38.4
geoId-QNH,17.1,17.1,17.8,17.7,17.1,18.3,18.7,19.1,19.3,19.0,18.3,18.4,18.3,17.3,17.3,17.8,17.2,17.2,17.2,17.2,17.0,17.0,16.5,16.4,15.9,15.8,15.4,15.1
geoId-QTI,20.4,20.4,21.0,21.2,21.5,22.0,22.5,22.8,23.0,23.0,23.2,23.1,23.1,23.2,23.8,23.8,24.3,24.7,25.4,25.6,25.6,25.7,25.8,26.0,26.0,26.1,25.9,26.1
