"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HCM,3014.0,2897.0,2891.0,2460.0,1007.0,561.0,80.0,78.0,101.0,117.0,121.0,222.0,247.0,305.0,563.0,785.0,484.0,481.0,378.0,416.0,447.0,370.5,352.1
geoId-NT,34514.0,40387.0,43116.0,47591.0,45218.0,47835.0,48026.0,51693.0,55447.0,61224.0,66883.8,65759.8,68806.6,71930.2,73901.5,77870.9,81173.0,86188.2,91104.6,97788.9,103442.1,103390.2,106984.8
geoId-TVH,3422.0,3558.0,3754.0,4080.0,3458.0,2431.0,2991.0,3232.0,4102.0,4554.0,5362.0,6333.2,5517.7,5142.5,4649.9,4433.5,4349.1,4103.3,4878.0,7184.8,7730.9,7552.9,7228.4
geoId-TQG,2432.0,3029.0,3366.0,3982.0,4131.0,4374.0,2549.0,3032.0,3611.0,4779.0,5714.0,3940.4,4153.9,4571.6,4770.7,5089.5,5331.7,5689.8,5916.9,6202.4,6461.4,6814.4,7087.3
geoId-TNN,6102.0,7415.0,8440.0,10059.0,8682.0,8729.0,7807.0,8159.0,9552.0,11894.0,12879.0,14242.0,14830.3,16202.0,17669.4,17886.0,19171.2,19606.7,22583.0,24774.5,27536.6,31829.2,33292.4
geoId-TNH,2652.0,2713.0,2950.0,3296.0,3039.0,3232.0,1883.0,2148.0,2386.0,2796.0,3118.0,3514.6,4136.4,4617.0,4902.0,5157.5,5431.0,5550.9,5597.7,7828.8,8729.6,9300.0,10438.9
geoId-VLG,4933.0,5372.0,5647.0,5834.0,5952.0,4607.0,2544.0,2895.0,3608.0,3989.0,4693.0,5755.4,5985.0,6303.3,6687.6,7581.4,7962.3,8288.6,8623.7,9562.8,10693.8,10861.3,10655.7
geoId-VPC,5018.0,6871.0,5231.0,6028.0,5030.0,5410.0,5842.0,7107.0,7050.0,7033.0,7331.0,8456.7,8557.0,9095.5,8112.6,8385.0,9745.8,9918.5,11021.2,11282.8,11843.9,12222.2,12263.7
geoId-YBI,2411.0,2429.0,2526.0,2674.0,2324.0,2507.0,2667.0,2784.0,2881.0,3042.0,3091.0,3367.0,3488.0,3535.0,3733.6,3994.6,4478.6,4603.4,4966.3,5414.2,6306.4,6766.6,7109.0
geoId-DBN,738.0,841.0,892.0,1000.0,800.0,917.0,1117.0,1417.0,1634.0,1880.0,2016.0,2333.2,2568.0,2778.9,3040.1,3295.5,3537.4,3790.2,4056.8,4229.8,4447.1,4578.6,4709.2
geoId-DNG,849.0,852.0,934.0,899.0,730.0,455.0,342.0,275.0,314.0,450.0,457.0,514.4,396.0,385.7,449.7,455.4,797.0,715.0,612.0,619.0,651.0,542.7,812.3
geoId-ST,16434.0,19761.0,20467.0,20541.0,14142.0,13143.0,12868.0,12118.0,13645.0,17645.0,20465.0,24087.6,25505.5,30123.5,33996.3,38398.6,41901.5,44794.6,48811.8,55313.9,59058.9,58756.0,65597.8
geoId-DLK,2906.0,3963.0,4732.0,5477.0,4560.0,4482.0,3515.0,3509.0,4536.0,6280.0,7037.0,7699.0,8000.0,8594.0,9577.0,9707.0,9939.0,10434.0,12175.0,12484.0,13752.0,15596.1,15655.7
geoId-DNG1,,,,,770.0,826.0,863.0,953.0,1079.0,1090.0,960.0,1133.0,1237.4,1435.9,1694.1,1705.4,1769.4,1949.5,2190.0,2434.0,2228.0,2872.1,2866.2
geoId-MRD,44011.0,46717.0,49991.0,51463.0,35561.0,31347.0,36378.0,39867.0,48527.0,55800.0,61157.0,66175.3,64060.3,60977.7,61197.0,63211.1,66632.9,66831.1,75097.7,82247.5,86984.6,87537.2,89957.1
geoId-RRD,54742.0,58952.0,61994.0,67951.0,61251.0,64465.0,61151.0,64303.0,68640.0,72524.0,76393.5,83034.7,87513.6,92514.1,91967.8,94491.8,102080.4,103146.6,107558.9,120533.8,127217.0,128533.0,127546.5
geoId-DNI,6101.0,8966.0,9300.0,8817.0,6264.0,5166.0,5756.0,4975.0,5925.0,8162.0,9292.0,10649.9,11331.0,12607.0,14503.1,17459.0,18739.5,20558.3,23650.4,23375.5,23928.3,22312.7,23801.0
geoId-DTP,4032.0,3299.0,3614.0,3801.0,3086.0,3100.0,3679.0,3396.0,4239.0,5022.0,5595.0,5684.0,5745.2,5176.0,4606.7,4707.8,4952.4,5110.9,5362.1,5321.3,5443.6,6841.0,7358.0
