"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HCM,0.6,0.5,0.5,0.1,0.1,0.1,0.2,0.2,,,,,,,,,,,0.2,0.2,,,,,,,,
geoId-NT,45.6,55.3,68.7,74.5,76.2,75.0,61.1,61.5,59.9,67.1,56.9,72.7,67.0,78.4,102.7,111.1,104.5,98.0,99.9,96.1,111.1,110.2,109.6,103.4,91.1,89.6,95.8,96.8
geoId-TVH,,0.2,0.3,0.5,0.6,0.2,0.5,0.2,0.2,0.2,0.4,0.2,0.1,0.2,1.0,0.3,0.2,0.2,0.1,0.5,0.3,0.3,0.0,0.1,0.2,0.1,0.1,0.1
geoId-TQG,5.6,6.5,8.4,7.4,6.6,3.7,5.2,4.8,1.4,3.1,3.8,8.2,7.1,11.4,14.8,16.7,16.5,16.7,14.6,14.2,14.3,10.9,12.5,12.0,11.4,10.4,11.0,11.3
geoId-TNN,11.1,13.9,13.1,10.1,9.5,13.3,16.5,26.7,16.6,16.9,12.3,14.5,16.9,15.6,18.0,17.4,12.5,10.9,9.6,10.9,10.2,8.6,15.9,13.8,12.4,11.9,19.0,17.1
geoId-TNH,1.7,1.8,1.2,0.9,0.6,0.5,0.7,0.5,0.9,0.9,0.3,0.1,0.1,0.2,1.1,1.3,1.7,1.0,0.7,0.7,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.4
geoId-VPC,1.4,1.3,1.7,1.6,1.5,1.4,1.4,0.9,0.9,0.7,0.7,0.9,0.7,0.9,0.4,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7
geoId-YBI,8.6,9.5,10.6,11.3,6.1,6.5,8.0,9.1,4.4,5.1,5.2,13.4,7.9,9.1,14.1,14.3,15.0,14.2,14.9,12.5,13.2,14.3,12.3,13.3,12.4,12.1,12.5,10.9
geoId-DBN,,,,,,,,,2.9,2.2,1.9,1.0,0.9,0.9,1.5,2.7,0.9,0.2,0.7,0.3,0.4,1.5,1.2,1.6,0.4,0.2,0.3,0.5
geoId-DNG,1.7,1.9,2.0,1.3,0.4,0.4,0.5,0.4,0.6,0.5,0.6,0.6,0.7,0.6,,4.0,1.5,1.5,2.0,2.3,2.0,2.0,2.3,2.3,1.4,1.0,2.8,3.0
geoId-ST,14.8,11.2,9.2,6.2,7.1,7.0,7.6,6.2,5.0,4.3,3.5,3.9,3.7,3.7,2.5,7.0,7.4,7.0,6.9,6.4,6.0,5.8,6.6,6.5,6.9,5.9,4.9,6.9
geoId-DLK,2.8,4.2,2.9,1.1,0.8,4.3,2.6,5.4,4.5,3.4,2.7,4.3,5.5,6.4,6.4,3.1,2.9,2.8,2.6,3.0,1.6,2.1,3.5,3.6,3.7,4.1,3.9,4.3
geoId-DNG1,,,,,,,,,,1.7,1.7,2.2,1.4,1.7,2.1,1.6,1.9,0.9,1.1,1.4,1.8,2.0,2.2,1.6,1.3,1.1,0.9,1.0
geoId-MRD,39.5,24.5,27.7,21.0,17.2,18.2,20.2,22.7,26.4,19.3,13.3,9.3,7.6,6.9,10.4,5.5,4.2,5.7,5.3,6.0,11.1,7.2,7.6,7.8,8.1,7.6,7.5,7.3
geoId-RRD,17.8,15.0,16.0,13.5,11.4,12.0,10.5,11.8,11.8,11.4,13.0,17.4,18.5,19.3,18.8,18.2,13.9,15.1,14.0,15.0,15.0,14.8,13.9,14.0,12.2,12.6,13.6,16.6
geoId-DNI,9.4,4.3,3.2,1.6,2.7,3.1,2.2,1.3,1.9,1.1,1.1,1.1,1.9,1.7,0.4,3.4,4.0,4.3,4.6,4.3,4.3,4.2,4.6,4.3,4.4,3.9,2.8,4.1
geoId-DTP,0.4,0.2,0.1,0.5,0.2,0.2,0.5,0.9,0.7,0.7,0.5,0.2,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.3,0.1
