"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-QBH,34.5,40.3,38.7,37.5,42.0,46.0,44.2,49.3,50.2,52.7,52.2,53.9,52.5,53.6,54.6,53.7,57.6,58.1,57.5,60.5,59.8,60.1,61.5,61.8,62.7,61.9,64.2,59.4
geoId-QNM,26.9,32.0,32.8,33.3,34.9,35.7,38.6,44.7,47.0,45.3,44.9,49.0,50.2,42.4,51.7,50.6,47.1,54.7,55.3,56.8,55.3,51.0,56.4,58.0,57.9,58.8,61.7,56.1
geoId-QNI,28.1,34.8,36.8,36.3,39.2,40.5,41.4,45.8,50.5,49.4,50.7,52.3,53.9,44.0,53.9,55.5,50.6,56.2,56.8,59.2,58.8,53.6,59.5,60.6,60.8,60.7,63.9,60.5
geoId-QNH,26.7,29.8,30.6,29.7,34.6,39.8,38.3,42.6,46.8,48.6,49.7,48.5,46.3,49.8,50.9,50.6,55.2,54.3,53.4,54.2,54.9,54.4,54.8,55.9,55.8,55.4,55.7,55.9
geoId-QTI,33.3,41.8,40.7,38.1,43.9,46.5,43.7,50.0,49.3,52.2,49.9,52.8,51.6,49.1,51.1,51.1,53.7,53.8,50.0,55.9,54.1,56.9,56.7,58.4,58.5,58.7,61.0,41.1
geoId-STG,48.1,43.0,42.6,45.2,45.3,48.5,44.7,50.5,51.1,52.4,55.3,53.8,50.1,59.1,58.6,62.5,63.9,65.5,66.0,68.0,68.5,62.4,64.5,64.6,65.2,64.8,67.9,67.1
geoId-SLA,45.1,50.0,54.2,49.7,47.6,51.9,49.9,55.1,54.9,57.0,52.8,57.0,55.2,56.6,57.7,57.8,61.2,59.6,60.5,60.1,55.3,58.0,57.6,58.8,58.3,58.6,59.7,60.3
geoId-THA,38.6,40.1,47.9,45.3,48.5,53.1,55.1,56.6,57.2,59.8,60.1,61.9,55.4,60.3,60.2,59.9,62.9,64.3,62.0,64.5,63.0,64.4,65.0,66.7,65.3,64.4,66.8,64.5
geoId-TBH,60.3,68.9,63.8,60.3,65.0,66.4,64.7,67.4,69.2,70.2,71.1,71.1,61.0,70.0,70.3,70.6,72.6,71.7,71.5,71.7,71.6,71.5,71.7,71.7,71.3,70.7,71.0,71.1
geoId-TNN,30.4,35.3,35.7,35.1,38.7,41.9,44.9,46.1,47.0,49.1,48.6,47.4,44.4,50.0,50.0,51.3,54.9,52.6,53.8,52.4,54.9,55.0,55.6,56.9,56.2,55.1,56.9,56.9
geoId-TTH,34.8,39.6,41.0,38.9,42.3,42.2,38.5,45.9,49.0,50.6,45.7,53.8,53.9,54.8,55.4,56.1,55.8,56.9,57.6,60.4,60.1,60.8,62.3,62.3,62.6,59.9,67.6,45.1
geoId-TGG,55.0,53.4,56.2,53.8,50.9,56.8,57.2,61.3,58.7,60.0,61.6,59.8,63.7,66.7,64.7,65.6,66.7,69.8,69.0,72.0,72.0,67.8,65.7,74.6,71.9,64.9,71.1,71.2
geoId-HCM,31.3,35.7,35.0,35.6,34.2,35.5,35.4,38.5,39.0,40.5,39.9,40.7,41.9,43.0,43.5,43.9,44.6,48.0,47.7,47.3,48.2,49.0,49.1,51.3,51.4,51.4,52.9,54.3
geoId-NT,30.0,35.0,36.4,35.8,39.0,44.3,45.6,47.2,49.3,50.6,51.0,50.2,47.0,51.7,52.8,54.0,56.8,56.3,56.6,56.1,56.6,57.5,57.5,58.7,57.8,57.3,58.7,58.4
geoId-TVH,48.5,46.2,47.3,48.7,41.2,49.4,39.9,51.6,53.1,53.2,56.1,51.1,46.3,54.8,53.0,58.3,47.4,62.3,60.3,67.2,68.1,40.4,59.0,67.1,66.2,35.4,64.1,65.0
geoId-TQG,31.4,37.2,39.7,39.9,42.3,48.2,51.2,48.4,54.4,55.3,56.5,54.5,54.1,56.4,58.2,58.2,59.9,59.4,59.6,59.4,59.7,59.9,59.8,60.5,60.2,60.0,60.5,60.2
geoId-TNN,37.3,40.6,46.0,35.1,44.3,47.9,49.6,42.8,47.2,49.6,41.0,55.4,53.8,52.1,56.8,56.9,52.2,58.1,56.2,61.2,56.8,53.7,61.3,64.9,65.6,65.2,66.6,67.0
geoId-TNH,33.2,40.7,35.8,33.8,36.8,38.7,38.1,42.3,42.5,44.2,49.7,48.9,49.5,51.7,50.5,51.1,53.4,53.8,54.8,56.6,57.5,58.0,57.9,59.1,58.1,57.6,57.8,58.3
geoId-VLG,52.3,55.6,56.5,59.2,54.7,57.1,53.1,59.6,58.0,59.1,61.7,61.0,61.1,63.2,63.2,67.8,66.1,68.1,66.5,70.9,71.6,63.8,60.0,66.2,62.6,68.8,70.6,70.0
geoId-VPC,30.0,35.5,37.4,33.6,36.4,46.3,45.6,49.6,50.8,54.1,53.8,54.1,42.3,55.4,56.1,55.3,59.9,59.3,60.3,60.4,59.8,58.6,61.1,63.1,62.2,61.1,62.8,51.2
geoId-YBI,36.3,38.7,41.2,42.8,44.1,46.6,47.0,47.9,48.6,49.0,49.7,50.4,48.3,48.6,51.4,52.1,53.2,54.1,54.0,53.2,54.3,54.5,54.7,55.0,55.3,55.4,55.8,56.0
geoId-DBN,,,,,,,,,,57.3,58.2,57.9,55.5,57.5,53.7,58.7,58.7,58.5,54.8,60.4,60.9,58.2,58.5,59.5,59.4,54.7,60.5,60.3
geoId-DNG,37.2,43.8,45.3,44.4,47.3,47.6,45.7,52.1,54.4,51.7,50.0,57.4,57.4,50.7,60.0,57.5,52.0,61.6,61.7,63.0,59.0,59.3,62.5,63.9,61.5,63.8,69.2,58.9
geoId-ST,33.3,38.4,36.1,34.4,36.1,37.7,37.5,39.7,40.6,42.1,45.5,45.7,47.6,49.8,49.6,50.3,51.9,52.6,53.4,54.8,56.2,56.4,56.8,57.2,58.1,57.8,58.6,59.6
geoId-DLK,33.8,40.1,47.6,33.4,48.4,51.1,54.6,45.9,50.5,53.7,37.4,62.9,58.1,52.1,64.0,63.8,60.1,63.4,62.5,69.4,64.5,61.3,69.7,75.1,74.9,73.7,73.9,74.7
geoId-DNG1,,,,,,,,,,48.9,45.6,53.1,55.6,56.4,59.0,59.0,55.3,58.9,56.4,62.2,61.5,58.9,60.0,63.7,62.1,63.1,65.5,66.1
geoId-MRD,51.6,51.9,53.3,53.0,50.1,52.6,50.4,57.0,56.6,58.7,61.4,60.0,60.2,64.4,63.6,65.7,66.9,68.6,68.4,71.6,71.3,63.9,62.6,68.8,67.8,68.3,72.3,70.8
geoId-RRD,44.5,53.5,53.6,52.4,54.4,58.0,57.3,59.4,60.9,62.4,62.8,63.3,57.3,63.7,63.4,63.2,66.9,66.2,65.7,65.5,65.8,65.6,65.9,66.9,65.3,65.5,66.6,65.9
geoId-DNI,36.1,40.0,40.2,38.1,38.4,40.1,40.8,40.8,42.6,44.4,46.9,47.6,52.4,54.4,55.0,55.5,55.8,57.2,57.7,58.6,60.8,60.7,61.5,57.8,63.4,63.9,64.9,65.9
geoId-DTP,53.9,52.0,57.0,58.1,56.3,58.7,60.0,63.5,63.1,63.8,67.0,65.4,68.3,69.9,68.9,70.9,71.6,72.2,70.7,72.2,70.4,68.0,60.0,69.9,70.0,72.4,73.2,73.2
