"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-TTH,15.7,18.8,20.0,18.9,13.3,22.5,24.3,27.9,30.0,30.0,28.3,40.0,38.2,33.1,35.6,37.5,36.5,40.6,40.0,38.8,39.4,39.4,39.4,41.3,40.0,40.7,40.2,39.5
geoId-TGG,18.8,21.9,24.5,25.8,25.0,24.8,24.3,25.9,26.9,31.3,31.8,32.0,31.9,33.5,33.2,33.4,33.0,33.5,34.7,36.3,35.9,36.1,35.8,35.7,36.2,35.9,36.6,36.2
geoId-HCM,18.6,18.6,28.9,30.0,28.2,30.9,32.7,31.7,31.4,34.4,33.0,34.2,33.6,35.7,34.2,34.4,38.3,32.5,31.8,32.1,35.6,36.0,36.0,37.5,35.7,44.0,43.3,42.1
geoId-NT,15.8,18.3,19.0,19.7,20.6,22.7,24.4,26.0,26.8,28.5,28.1,28.6,32.9,33.6,34.2,33.3,36.5,36.7,37.6,36.7,36.9,38.1,38.8,39.5,39.5,40.3,40.9,41.6
geoId-TVH,8.2,5.6,27.7,27.6,28.3,29.6,34.3,36.0,41.2,42.4,44.8,44.3,44.1,54.2,46.4,51.9,50.9,47.6,53.6,55.0,54.5,52.3,52.9,52.3,55.4,55.7,56.7,60.0
geoId-TQG,20.3,26.8,30.5,29.6,27.4,33.0,35.5,35.1,37.6,39.2,40.7,38.8,41.4,41.2,42.4,42.3,43.9,42.8,43.8,42.8,43.5,43.7,43.9,44.5,44.3,45.6,46.4,46.3
geoId-TNN,23.2,29.8,30.5,31.2,30.8,36.9,35.3,34.0,42.6,35.8,40.7,44.6,44.9,46.2,45.9,50.0,52.0,50.2,51.8,53.1,53.7,53.5,56.5,56.7,58.7,57.1,59.9,60.1
geoId-TNH,18.3,64.1,34.3,31.5,29.4,35.4,39.1,42.5,42.1,43.9,46.5,44.9,47.5,49.0,49.0,50.8,50.2,50.6,52.9,53.3,55.2,55.7,56.5,55.9,56.4,58.1,58.4,58.8
geoId-VLG,14.3,13.8,14.3,17.1,16.3,20.0,18.6,18.2,20.0,18.8,18.8,18.9,20.0,20.0,20.8,21.5,21.3,22.0,23.6,23.6,24.2,23.1,24.3,24.4,25.6,27.1,27.7,29.0
geoId-VPC,23.8,26.0,27.4,26.0,28.8,27.3,32.5,33.6,34.0,38.6,37.5,37.3,33.9,39.7,33.4,41.8,41.3,40.7,41.3,42.6,43.2,41.6,43.4,45.2,46.9,47.9,48.3,45.8
geoId-YBI,15.4,16.5,17.1,18.1,19.0,19.7,20.2,21.6,22.9,23.3,23.5,24.5,25.3,26.0,26.7,28.6,29.2,30.6,31.6,29.3,33.0,33.4,33.5,34.2,34.3,34.7,35.3,35.8
geoId-DBN,,,,,,,,,,19.3,19.3,19.8,20.7,22.2,22.6,23.2,23.8,24.5,25.3,25.5,25.7,26.2,26.2,26.6,27.2,27.7,28.3,29.8
geoId-DNG,30.0,30.0,40.0,10.0,30.0,60.0,60.0,57.5,60.0,57.5,52.5,58.8,57.5,52.2,54.4,58.8,55.0,58.3,60.0,50.0,52.5,52.0,60.0,60.0,55.0,55.0,60.0,56.9
geoId-ST,27.2,35.3,31.3,31.1,32.0,34.7,34.5,35.7,38.0,38.5,45.4,46.3,48.4,50.4,51.2,52.0,54.2,56.2,58.0,59.8,62.4,63.6,63.1,64.2,65.7,69.6,71.4,73.4
geoId-DLK,25.9,31.7,30.6,34.4,33.6,41.6,38.6,37.5,46.7,37.2,40.3,46.4,47.1,49.0,46.5,53.4,55.4,51.8,53.7,54.9,55.2,55.1,59.3,60.1,62.1,58.9,61.5,61.4
geoId-DNG1,,,,,,,,,,40.7,55.1,58.3,57.0,60.5,61.5,62.0,61.2,60.7,61.1,63.6,63.6,63.6,64.4,62.1,65.4,64.4,65.8,65.6
geoId-MRD,41.6,43.9,31.2,31.6,27.2,27.3,41.7,42.3,47.5,53.0,54.4,56.0,55.5,56.4,52.2,53.2,53.4,54.0,56.8,60.4,57.5,55.6,57.0,57.4,57.8,61.9,62.8,65.4
geoId-RRD,26.0,28.6,30.5,29.1,30.8,29.9,33.1,34.9,37.1,40.4,40.4,40.2,41.2,43.6,42.4,45.2,46.2,46.7,46.1,47.1,48.1,48.1,49.2,49.7,50.7,51.0,51.9,52.6
geoId-DNI,29.5,36.0,31.4,31.1,32.8,35.7,34.9,35.9,39.2,39.1,49.2,50.8,53.1,55.5,57.7,59.1,61.2,64.1,65.4,67.9,70.9,71.7,71.8,72.4,75.4,79.9,80.1,81.4
geoId-DTP,35.9,56.3,41.5,40.9,48.4,40.4,45.6,47.4,49.2,62.6,63.9,72.2,72.0,76.1,74.0,67.6,64.5,72.6,76.5,77.4,76.7,77.9,80.6,82.6,83.7,90.2,90.2,89.8
