"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-TNH,3844.0,4419.0,4684.0,5736.0,7187.0,5611.0,6231.0,6356.6,7346.0,7571.0,7790.3,9182.2,9552.2,10080.4,11433.3,11864.4,12456.0,13290.6,14462.0,15624.0,15175.8,14563.93,16704.21
geoId-VLG,475.0,589.0,758.0,783.0,630.0,679.2,674.0,790.0,925.0,1090.0,1126.6,1163.2,823.0,914.3,968.4,923.9,1037.2,1219.7,1671.0,1865.0,1920.8,2025.0,2998.0
geoId-VPC,1343.0,1655.0,2246.0,3341.5,4344.0,4889.0,5866.8,7360.0,8449.3,10687.0,11950.5,13169.5,14250.7,16941.0,16804.0,17277.9,16723.9,18714.0,24216.0,25474.4,23023.3,15232.84,21667.29
geoId-YBI,916.0,1090.0,1559.0,1849.0,2566.0,3307.0,3606.0,3871.0,4109.0,4243.0,4893.2,6077.4,6937.1,6956.7,7529.8,7826.2,8644.0,9326.9,10595.3,10894.3,10240.6,7887.2,10266.8
geoId-DBN,540.0,775.0,607.0,613.0,679.9,753.2,821.0,709.4,736.0,818.5,908.5,1099.8,1195.5,1294.2,1335.9,1438.8,1526.0,1544.3,1896.4,2033.7,2086.8,2349.74,3010.58
geoId-DNG,4550.62,5217.0,6917.0,10012.0,13845.0,14248.0,14884.0,14231.0,15369.5,17010.0,18438.8,21360.0,24300.0,24629.1,26230.0,27230.1,28215.8,32448.2,33452.6,35430.3,30955.7,30413.7,32105.08
geoId-ST,34004.0,38026.0,41394.0,46675.0,54775.0,54579.0,65083.0,81783.4,90093.7,95710.9,106293.0,118714.0,135039.4,149362.8,162164.4,176514.3,190850.3,211358.9,234677.2,252248.5,234170.3,238003.79,284033.12
geoId-DLK,1667.0,1857.0,1870.0,1985.0,2029.0,2374.0,2903.0,3717.6,4492.0,4968.0,6900.0,8864.0,9980.9,11188.5,11725.6,12323.6,13055.6,13721.5,15313.2,16566.8,17927.0,18797.21,20844.06
geoId-DNG1,,,,367.0,373.0,399.0,431.0,461.0,530.2,609.7,652.4,774.4,800.7,860.0,885.7,1045.2,1144.3,1235.8,1568.0,1663.8,1777.2,1451.96,2332.25
geoId-MRD,11024.0,12732.29,14567.54,15699.2,15992.0,18376.5,19694.4,21971.2,23181.2,23511.2,28414.1,27647.0,29033.2,31524.8,32286.8,34399.2,37269.4,40953.1,44315.0,48238.2,44393.6,42976.56,54548.48
geoId-RRD,38996.34,45513.95,56737.33,65892.8,77862.5,89133.4,102720.0,131477.0,148108.1,163433.0,191371.1,215947.4,238811.3,245226.4,265066.6,288158.8,313538.8,343240.7,380414.7,426870.0,430608.6,440888.92,561294.7
geoId-DNI,9251.0,10620.0,12247.0,14044.0,16921.0,18064.0,21756.6,24938.0,25766.0,27384.0,29615.0,32282.8,36821.1,39311.5,41829.5,43821.1,46318.9,48959.1,51994.5,46748.3,44378.5,40277.04,50942.74
geoId-DTP,415.0,419.0,431.0,455.0,538.0,1020.0,1136.0,1346.0,1091.0,929.0,1109.9,1190.5,1209.0,1593.6,1493.7,1674.3,1746.3,1905.2,2125.8,2409.2,2577.0,2817.0,3573.0
