"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HCM,807.3,822.9,871.9,1290.6,1667.4,1910.6,2219.0,3119.1,3610.2,3955.4,4434.0,4939.5,5591.5,5782.9,6136.4,6762.3,7614.4,8454.8,9579.3,10853.3,9735.4,10115.09,13021.55
geoId-NT,472.54,610.53,755.26,936.6,1164.0,1336.6,1658.8,1922.6,2210.0,2289.6,2455.0,2786.8,3021.6,3215.2,3415.6,3732.4,4004.2,4463.2,5227.6,5764.2,5696.2,6698.09,7743.8
geoId-TVH,17.98,20.52,26.7,39.1,48.4,58.0,61.2,46.9,54.0,61.5,63.8,78.3,83.8,98.0,104.2,114.4,131.1,152.1,160.9,182.6,166.9,126.9,226.2
geoId-TQG,44.0,124.91,145.03,177.7,202.2,244.5,295.9,384.4,448.0,482.5,543.9,542.1,560.8,579.5,599.4,620.0,630.9,651.1,977.3,1081.9,958.4,941.6,1010.6
geoId-TNN,591.76,610.33,699.67,809.4,963.6,1058.5,1329.8,1509.3,2057.8,2405.9,2674.4,3086.9,3431.8,4084.2,4366.8,4462.1,5383.4,6148.6,6608.4,7515.5,8121.2,7304.43,8734.34
geoId-TNH,308.88,326.8,325.87,387.5,441.6,421.7,488.4,493.7,529.2,569.6,588.9,636.7,652.5,697.0,708.2,830.9,927.5,1000.7,1090.1,1172.2,1157.4,1089.71,1266.21
geoId-VLG,18.9,20.7,24.96,31.7,28.5,30.7,30.5,35.7,41.8,49.3,56.2,61.9,61.6,78.2,83.2,94.6,102.8,123.7,155.0,172.4,198.3,249.23,375.72
geoId-VPC,32.9,42.5,61.39,70.9,96.8,112.9,192.8,276.6,318.8,403.2,495.0,569.3,824.8,893.7,857.2,874.6,820.7,843.7,950.8,988.7,891.3,837.18,1105.44
geoId-YBI,23.76,30.0,32.0,39.9,54.3,61.6,66.8,70.9,75.3,83.4,87.2,102.0,131.7,147.0,145.1,156.5,163.9,178.1,204.8,220.5,249.5,217.1,279.4
geoId-DBN,11.0,15.21,15.8,23.13,27.0,29.0,132.0,40.9,53.2,59.2,69.2,78.8,83.6,92.2,99.3,105.6,110.4,106.3,130.0,139.9,141.5,159.61,205.3
geoId-DNG,472.54,717.13,638.23,729.4,849.3,1463.9,1487.0,1275.8,1436.0,1581.0,1724.9,1847.4,1998.6,1897.3,1996.0,2157.6,2576.2,2728.2,2935.5,3152.8,2757.5,2727.36,775.96
geoId-ST,1923.8,2021.39,2146.5,2660.4,3408.2,3858.9,4572.6,6048.3,6745.7,7523.2,8167.1,9035.5,10381.2,10962.5,11610.1,12538.0,13863.5,15109.0,16858.2,18374.4,17078.5,17267.89,21517.9
geoId-DLK,190.27,208.48,209.08,209.14,245.5,273.2,334.3,539.6,639.6,707.1,760.2,852.1,966.3,1118.9,1183.8,1269.1,1402.4,1617.0,1798.1,2009.1,2217.6,2333.36,2599.01
geoId-DNG1,,,,27.0,33.2,36.9,40.3,43.5,50.0,57.5,59.3,61.8,64.9,68.8,71.3,84.8,99.7,104.7,117.5,127.5,137.2,131.33,197.55
geoId-MRD,686.3,780.93,956.81,1081.6,1155.9,1319.7,1379.4,1416.1,1473.4,1627.1,1714.9,1779.1,1885.6,2034.5,2118.1,2281.9,2524.6,2725.3,3000.9,3234.8,2957.1,3206.7,3993.24
geoId-RRD,1765.58,2219.46,2933.29,3224.3,3893.6,4717.0,5715.8,7569.0,8388.2,9529.8,10476.3,12068.8,13031.2,13737.0,14372.6,15530.4,17261.4,19125.1,21468.6,23200.0,23884.4,24883.87,31355.89
geoId-DNI,502.7,532.5,594.8,594.8,848.1,949.5,1018.9,1394.8,1441.1,1879.7,1919.2,1998.6,2385.1,2549.3,2717.5,2811.4,2968.8,3147.0,3351.5,3247.9,3184.0,2900.75,3758.54
geoId-DTP,26.8,26.91,27.84,30.3,33.1,62.8,69.9,81.8,105.0,94.5,88.9,100.6,101.2,123.1,133.0,138.6,140.0,152.7,168.7,189.3,161.8,172.32,210.9
