"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-STG,10.9,11.2,12.8,14.0,14.4,17.1,18.9,19.3,23.6,27.1,30.7,26.9,28.3,29.3,31.5,34.1,34.3,37.8,39.66,42.9,38.4,23.05,45.3
geoId-SLA,1.3,1.4,1.4,1.9,2.0,2.0,2.0,2.1,2.2,2.3,2.6,2.5,2.7,2.8,2.8,3.0,3.0,3.5,4.03,4.4,3.2,2.3,3.5
geoId-THA,2.7,2.8,3.0,3.1,3.3,4.4,5.1,5.9,7.6,9.7,11.5,12.2,12.8,13.8,14.9,16.6,18.8,20.5,19.5,22.7,16.6,9.01,12.22
geoId-TNN,1.4,1.5,1.54,1.9,2.3,2.4,3.1,3.9,4.7,5.8,6.3,7.1,8.0,8.5,9.3,9.8,10.6,11.5,12.34,13.8,12.5,13.56,16.74
geoId-TBH,2.0,2.1,2.2,2.5,3.5,4.1,4.3,6.0,7.0,8.4,9.5,10.1,10.8,11.9,12.7,13.1,13.5,14.6,14.01,15.9,15.6,13.66,16.75
,7.2,7.3,7.0,9.1,7.1,5.1,10.6,11.1,11.9,10.0,10.5,11.6,13.3,14.8,16.5,17.5,18.4,19.5,21.54,23.7,17.8,16.93,46.11
geoId-TGG,24.3,25.6,26.5,27.9,23.2,18.6,21.7,22.6,19.7,20.4,21.9,22.3,24.1,24.8,25.3,27.0,27.9,30.7,31.58,32.3,15.1,11.47,14.78
geoId-HCM,172.6,198.2,204.7,209.8,209.9,219.1,231.1,264.6,278.2,378.1,488.3,601.1,662.2,720.2,782.1,893.2,978.1,1090.6,1242.65,1415.4,716.7,385.61,1006.41
geoId-NT,18.1,19.83,21.44,23.5,27.8,31.5,36.0,39.6,45.7,53.6,60.0,65.1,69.3,71.7,77.6,82.7,87.3,93.5,99.57,103.5,79.9,68.81,89.79
geoId-TVH,6.6,5.5,6.1,5.2,4.9,5.3,4.5,4.9,5.5,4.7,5.0,5.2,5.5,5.9,6.3,6.8,7.1,7.4,7.88,8.9,7.3,5.3,9.6
geoId-TQG,1.3,1.4,1.7,1.9,2.3,3.2,3.6,2.9,3.6,4.3,4.3,5.0,5.2,5.3,5.9,6.6,6.7,7.0,7.02,7.5,5.5,6.62,6.91
geoId-TNN,14.3,15.6,16.7,18.5,19.1,22.4,24.8,26.9,34.2,43.9,50.8,58.0,61.1,64.3,67.0,74.0,79.6,86.6,96.3,102.2,79.6,55.39,85.51
geoId-TNH,4.5,4.7,4.9,5.1,6.7,6.0,8.8,10.8,11.6,12.3,12.9,13.3,13.5,13.9,14.1,15.0,15.3,16.4,17.75,19.5,18.8,10.12,24.86
geoId-VLG,16.2,16.8,17.7,18.8,20.7,22.5,25.2,27.5,28.3,30.4,33.3,32.0,33.2,33.7,34.5,33.4,34.6,36.9,33.04,33.3,21.2,17.3,23.28
geoId-VPC,0.9,0.9,1.3,1.7,2.6,3.9,4.2,6.0,7.0,7.9,9.9,10.9,11.8,12.2,13.5,14.4,15.0,15.5,19.41,20.2,13.3,10.69,19.28
geoId-YBI,1.2,1.6,1.5,1.8,2.9,3.5,4.0,4.3,4.4,4.9,4.9,5.4,5.9,6.3,6.9,7.2,7.6,8.1,8.6,8.8,8.2,5.4,7.3
geoId-DBN,1.0,1.0,1.0,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.0,1.1,1.1,1.0,1.0,1.1,1.2,1.3,1.56,1.6,1.3,0.83,1.8
geoId-DNG,13.49,11.92,11.4,12.5,14.3,11.5,12.9,15.1,17.2,18.7,23.7,25.7,27.7,26.0,28.9,24.3,26.0,28.0,24.39,28.2,11.6,7.99,9.66
geoId-ST,211.0,245.2,253.1,264.7,274.7,291.6,317.0,360.3,382.9,494.8,615.1,734.5,811.0,880.0,945.4,1067.1,1161.4,1286.6,1455.23,1640.1,908.3,525.75,1217.57
geoId-DLK,6.4,6.5,6.4,6.5,6.6,7.9,8.2,8.6,8.6,12.5,14.8,14.7,15.3,15.5,16.9,17.4,18.6,20.5,23.02,24.8,24.2,15.76,24.84
geoId-DNG1,,,,0.8,0.8,1.2,1.4,1.4,1.6,1.9,2.0,2.1,2.4,2.5,2.6,2.9,3.0,3.2,3.48,3.7,2.9,1.93,3.28
geoId-MRD,217.29,231.0,244.86,259.7,273.5,293.7,349.1,379.2,407.9,419.2,452.4,471.9,494.4,502.9,523.0,538.6,566.3,613.6,646.96,685.5,564.6,374.96,535.84
geoId-RRD,68.76,74.05,99.03,261.8,331.5,405.5,458.2,508.0,579.5,638.4,748.6,767.9,842.5,906.7,997.6,1071.0,1171.2,1283.8,1386.75,1538.2,1353.3,1096.32,1463.24
geoId-DNI,17.1,23.1,25.3,29.1,33.3,36.7,41.2,43.4,47.4,51.9,57.0,60.3,69.3,75.6,75.9,80.8,86.1,92.7,98.4,104.0,94.7,66.62,91.44
geoId-DTP,11.5,11.6,11.7,12.0,13.1,10.6,18.3,19.2,20.4,17.5,20.1,19.3,19.8,19.9,18.6,20.6,21.5,22.4,24.31,27.3,25.5,20.91,23.37
