"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-NT,577.61,708.6,906.7,1103.3,1354.1,1576.3,1994.6,2436.5,2917.1,2869.9,2935.7,3261.0,3500.4,3779.5,4053.4,4384.9,4726.0,5199.2,6033.2,6711.8,6658.4,7621.6,8783.67
geoId-TVH,77.07,127.9,83.2,213.3,226.2,367.6,277.0,211.5,293.1,315.4,331.6,385.2,425.6,366.5,375.5,469.0,528.4,594.6,633.9,666.5,631.4,610.57,1163.87
geoId-TQG,61.5,136.81,158.1,188.5,206.3,247.0,297.9,386.4,448.5,483.1,544.4,542.6,561.2,579.6,599.6,620.2,631.1,651.3,977.6,1082.1,958.7,941.79,1010.83
geoId-TNN,592.2,610.74,699.9,809.6,963.8,1058.7,1330.0,1509.3,2058.1,2406.3,2674.8,3087.2,3432.2,4084.7,4367.3,4462.5,5383.8,6149.0,6608.4,7515.5,8121.2,7304.43,8734.34
geoId-TNH,315.71,336.57,335.4,405.2,463.3,426.3,501.4,510.1,556.5,586.5,607.0,652.5,668.6,710.6,722.1,856.4,954.2,1026.9,1117.4,1197.2,1159.9,1090.94,1267.02
geoId-VLG,169.0,175.04,181.4,190.4,203.0,137.5,152.0,157.4,183.1,241.8,262.4,279.9,356.7,379.4,399.5,405.2,436.8,476.9,509.1,554.2,488.2,411.85,608.17
geoId-VPC,102.2,117.6,148.8,154.9,195.5,258.6,359.0,592.7,641.3,871.7,1011.3,1107.5,1489.5,1511.2,1479.7,1576.2,1633.1,1684.5,1763.9,1922.4,1718.1,1825.85,2411.87
geoId-YBI,37.24,40.0,42.0,47.6,62.5,65.8,73.6,77.9,79.8,88.1,92.8,107.3,137.6,153.1,151.2,165.3,173.1,186.8,208.4,224.2,253.3,220.14,281.85
geoId-DBN,11.0,15.21,15.8,23.1,27.0,29.0,132.0,40.9,53.2,59.2,69.2,78.8,83.6,92.2,99.3,105.6,110.4,106.3,130.0,139.9,141.5,159.62,205.31
geoId-DNG,598.82,800.08,915.4,1026.3,1494.4,2175.9,2201.0,1916.7,2078.5,2190.7,2303.8,2392.0,2437.5,2292.1,2418.6,2395.9,2857.6,3037.3,3264.2,3510.8,2930.6,2809.06,857.2
geoId-ST,5547.05,5009.86,4645.7,9867.4,10477.8,11486.7,13248.4,14213.2,15789.0,17039.8,18160.3,21598.1,23575.8,24199.5,25698.9,29079.6,32303.4,34682.0,41572.5,46488.7,45478.7,46859.32,65955.2
geoId-DLK,190.63,208.83,209.2,209.2,245.6,273.3,334.5,539.6,639.9,707.4,760.5,852.4,966.7,1119.4,1184.3,1269.5,1402.8,1617.4,1798.1,2009.1,2217.6,2333.36,2599.01
geoId-DNG1,,,,27.0,33.2,36.9,40.3,43.5,50.0,57.5,59.3,61.8,64.9,68.8,71.3,84.8,99.7,104.7,117.5,127.5,137.2,131.33,197.55
geoId-MRD,2809.7,3075.51,3516.5,3486.4,4313.4,4650.9,4884.1,5383.2,5777.0,6918.6,7269.6,7065.9,7434.8,7723.8,7952.6,8564.5,9333.2,9962.9,10580.4,11573.7,10683.3,10602.37,12839.64
geoId-RRD,5148.99,7474.64,9046.8,10556.2,12622.6,16235.5,18567.5,21050.6,25778.7,29402.7,31668.5,35096.1,38591.2,43891.1,46241.6,49671.5,55325.2,61578.8,69348.9,74714.0,77432.0,79075.4,96454.13
geoId-DNI,542.0,573.07,657.0,748.2,970.2,1056.0,1229.3,1504.7,1487.8,1926.0,1961.3,2049.0,2436.4,2600.9,2770.1,2865.6,3025.2,3204.5,3411.1,3309.7,3244.8,2954.18,3826.19
geoId-DTP,178.6,180.61,186.5,188.5,214.0,242.6,258.9,336.7,308.0,324.8,320.6,333.8,400.9,470.1,497.0,448.7,479.2,515.3,577.4,682.9,708.4,771.31,903.37
