"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-NAN,133.4,168.1,153.9,176.9,180.8,148.4,182.4,163.2,146.2,131.6,103.1,90.9,78.3,78.2,67.6,74.4,68.9,55.1,52.7,40.9,40.8,34.5,26.4,25.4,26.6,25.0,24.3,24.6
geoId-NBH,21.5,13.0,22.6,20.8,23.3,19.0,25.2,21.4,22.2,21.5,19.2,17.4,22.2,18.8,15.4,19.4,20.6,17.2,19.4,17.7,18.3,13.2,12.6,11.7,10.9,7.8,6.6,8.8
geoId-NTN,0.6,0.8,0.4,0.1,0.2,0.6,0.7,0.6,0.1,0.1,0.4,0.4,0.5,0.6,1.8,2.5,1.7,1.8,1.7,1.1,1.1,1.5,2.8,3.4,3.3,2.4,3.1,3.2
geoId-PTO,28.3,21.7,27.7,21.6,25.4,21.8,24.7,24.0,24.6,22.0,22.3,26.4,24.4,20.1,17.8,21.0,17.3,18.8,18.4,16.6,14.5,13.9,13.1,10.4,10.2,8.4,6.7,5.6
geoId-PYN,4.6,3.9,5.5,4.5,4.6,3.6,2.9,2.3,2.0,1.5,1.3,1.4,1.4,1.1,1.6,1.6,1.5,1.3,1.7,1.2,0.9,1.0,0.9,0.9,0.7,0.8,0.8,0.7
geoId-QBH,38.7,34.0,32.7,27.4,37.9,35.6,34.9,30.4,27.4,31.7,28.4,26.9,28.0,26.7,26.6,28.7,28.5,28.2,28.3,27.5,26.3,26.5,25.5,25.8,23.9,23.1,23.7,23.2
geoId-QNM,65.3,60.0,61.8,61.3,52.9,58.2,64.6,60.1,60.4,58.4,60.1,54.7,50.4,43.7,35.5,39.0,32.2,31.7,29.4,29.1,28.2,28.1,23.1,21.7,18.4,16.8,16.3,17.6
geoId-QNI,33.8,25.2,26.0,20.0,20.8,18.0,14.7,12.1,8.6,5.3,5.9,5.3,5.2,4.7,3.4,4.2,3.7,4.1,3.7,2.4,4.0,2.2,2.5,2.2,2.2,2.1,1.7,2.0
geoId-QNH,44.1,45.1,42.6,39.5,35.9,39.4,39.1,36.6,37.5,36.1,31.6,30.0,27.5,25.5,25.1,27.2,26.6,24.7,23.7,23.6,23.2,22.5,21.0,21.3,20.2,20.5,19.2,19.2
geoId-QTI,22.7,24.8,26.2,22.0,26.6,28.3,25.6,26.6,23.7,25.0,25.7,26.0,24.7,24.1,22.2,23.2,20.5,20.3,19.4,19.0,17.3,18.1,19.2,18.3,16.6,14.3,12.3,8.9
geoId-STG,14.2,18.3,11.7,11.3,11.4,14.0,13.0,12.8,13.6,15.4,14.6,16.4,17.3,21.9,27.8,30.7,32.0,29.7,28.5,27.7,26.3,23.0,20.0,19.4,15.6,7.5,6.0,7.2
geoId-SLA,1.7,2.0,2.9,2.9,3.1,3.2,3.4,4.6,4.7,3.8,3.4,4.2,4.0,3.3,3.1,3.2,3.4,2.6,2.5,2.2,1.5,1.6,2.0,2.4,2.5,2.7,2.4,2.3
geoId-THA,168.6,190.1,146.1,164.4,158.5,130.0,144.6,140.4,121.7,113.0,104.2,96.9,99.4,86.2,77.6,75.9,76.5,70.9,66.6,61.2,58.4,52.6,53.5,44.8,49.6,47.8,45.4,40.6
geoId-TBH,79.9,70.1,90.0,75.0,105.1,85.2,75.1,65.4,57.1,48.1,52.7,50.7,59.1,53.4,41.6,44.7,47.7,51.3,37.4,42.4,42.4,38.2,35.4,39.4,43.3,42.5,38.3,33.6
geoId-TNN,41.7,34.3,49.9,46.8,52.5,54.9,58.5,66.3,62.1,55.7,50.7,51.4,50.2,46.7,39.7,43.9,46.3,39.6,38.8,33.4,33.6,29.2,27.9,24.1,23.4,22.0,19.8,19.1
geoId-TTH,37.8,33.9,32.2,28.9,21.3,20.5,24.3,23.6,23.3,22.6,22.4,22.4,22.5,19.7,19.6,20.4,19.0,19.6,18.4,15.7,15.4,14.1,12.9,10.3,9.1,6.6,4.0,3.5
geoId-TGG,5.2,5.0,6.0,5.1,4.0,3.6,3.9,4.1,3.9,3.5,3.8,1.6,3.3,3.8,3.5,3.3,3.8,4.5,4.1,4.1,5.4,5.7,6.6,6.9,6.9,7.1,6.2,3.0
geoId-HCM,1.6,1.6,1.5,0.8,1.0,1.3,1.2,0.8,0.8,0.9,0.6,0.6,0.4,0.2,0.2,0.3,0.3,,,,0.3,0.4,0.3,0.4,0.2,0.2,0.2,0.1
geoId-NT,242.7,224.0,253.2,235.5,271.2,271.2,299.5,323.2,305.9,296.6,270.6,278.3,285.1,267.5,239.1,256.3,250.5,231.2,234.2,226.6,225.6,214.8,216.4,203.4,195.9,183.5,177.0,164.7
geoId-TVH,21.7,22.3,27.7,18.0,21.6,22.8,26.2,31.3,20.1,23.2,23.9,29.0,24.8,23.1,29.6,28.8,26.1,28.9,25.0,23.9,22.0,18.9,19.0,18.6,18.9,19.5,20.0,23.0
geoId-TQG,7.9,9.5,8.2,10.8,23.7,14.8,24.0,18.5,21.0,26.4,21.0,21.2,26.0,26.9,24.1,25.8,23.2,17.5,22.3,21.7,23.3,19.5,19.8,19.3,16.6,13.3,15.6,12.9
geoId-TNN,78.1,54.2,71.4,58.6,61.2,63.2,65.2,77.5,81.7,77.5,85.9,125.0,125.2,131.1,149.5,151.5,154.4,159.6,168.9,161.2,170.1,196.0,213.2,246.9,296.6,338.2,343.5,390.4
geoId-TNH,,,,,,,17.1,,2.2,2.1,2.0,1.2,1.8,7.2,4.6,4.2,4.8,2.8,1.7,0.3,0.1,0.0,0.2,0.1,3.4,0.9,0.4,0.0
geoId-VLG,44.6,40.8,51.2,19.0,43.1,46.2,61.3,110.7,105.8,133.6,152.0,177.6,182.0,142.8,148.8,170.7,248.2,344.7,289.6,343.2,310.4,294.3,358.0,381.4,389.2,358.1,235.2,29.5
