"Tỉnh, thành phố",Năm,Tổng số,Đúng hạn,Quá hạn
geoId-TGG,2020,12766,10220,2546
geoId-TGG,2021,13313,9696,3617
geoId-TGG,2022,16667,12323,4344
geoId-HCM,2018,34845,31086,3759
geoId-HCM,2019,35858,32860,2998
geoId-HCM,2020,35832,33237,2595
geoId-HCM,2021,61585,45701,15884
geoId-HCM,2022,40707,34906,5801
geoId-NT,2018,67574,48077,19497
geoId-NT,2019,66672,48747,17925
geoId-NT,2020,71001,50561,20440
geoId-NT,2021,72287,53818,18469
geoId-NT,2022,86134,62344,23790
geoId-TVH,2018,7421,4713,2708
geoId-TVH,2019,7096,5246,1850
geoId-TVH,2020,7090,5210,1880
geoId-TVH,2021,6347,4472,1875
geoId-TVH,2022,9615,6862,2753
geoId-TQG,2018,4791,3614,1177
geoId-TQG,2019,4729,3730,999
geoId-TQG,2020,4606,3561,1045
geoId-TQG,2021,4551,3668,883
geoId-TQG,2022,5577,4343,1234
geoId-TNN,2018,29662,15731,13931
geoId-TNN,2019,28022,14788,13234
geoId-TNN,2020,29623,16859,12764
geoId-TNN,2021,29013,16964,12049
geoId-TNN,2022,37568,21177,16391
geoId-TNH,2018,8115,6473,1642
geoId-TNH,2019,8451,6813,1638
geoId-TNH,2020,8428,6992,1436
geoId-TNH,2021,9924,8020,1904
geoId-TNH,2022,10539,8392,2147
geoId-VLG,2018,7515,5651,1864
geoId-VLG,2019,7354,5680,1674
geoId-VLG,2020,7369,5706,1663
geoId-VLG,2021,8296,6025,2271
geoId-VLG,2022,9651,7667,1984
geoId-VPC,2018,5525,5057,468
geoId-VPC,2019,5895,5438,457
geoId-VPC,2020,6075,5612,463
geoId-VPC,2021,6043,5635,408
geoId-VPC,2022,6733,6052,681
geoId-YBI,2018,4440,3448,992
geoId-YBI,2019,4096,3093,1003
geoId-YBI,2020,4372,3107,1265
geoId-YBI,2021,4774,3722,1052
geoId-YBI,2022,5460,4183,1277
geoId-DBN,2018,2590,1499,1091
geoId-DBN,2019,2455,1449,1006
geoId-DBN,2020,2893,1593,1300
geoId-DBN,2021,2695,1700,995
geoId-DBN,2022,4032,2072,1960
geoId-DNG,2018,6741,4130,2611
geoId-DNG,2019,7574,4502,3072
geoId-DNG,2020,6431,4000,2431
geoId-DNG,2021,6855,4490,2365
geoId-DNG,2022,7785,5239,2546
