"Tỉnh, thành phố",Năm,Tổng số,Cấp tỉnh,Cấp huyện
geoId-KHA,2021,175,34,141
geoId-KHA,2022,210,33,177
geoId-KGG,2013,394,25,369
geoId-KGG,2014,380,27,353
geoId-KGG,2015,574,35,539
geoId-KGG,2016,494,26,468
geoId-KGG,2017,563,44,519
geoId-KGG,2018,602,47,555
geoId-KGG,2019,602,71,531
geoId-KGG,2020,520,39,481
geoId-KGG,2021,414,50,364
geoId-KGG,2022,589,40,549
geoId-KTM,2013,43,,43
geoId-KTM,2014,41,1,40
geoId-KTM,2015,63,0,63
geoId-KTM,2016,57,0,57
geoId-KTM,2017,70,1,69
geoId-KTM,2018,92,1,91
geoId-KTM,2019,59,,59
geoId-KTM,2020,35,1,34
geoId-KTM,2021,75,0,75
geoId-KTM,2022,73,1,72
geoId-LCU,2013,27,,27
geoId-LCU,2014,11,,11
geoId-LCU,2015,18,0,18
geoId-LCU,2016,24,0,24
geoId-LCU,2017,24,,24
geoId-LCU,2018,18,,18
geoId-LCU,2019,65,,65
geoId-LCU,2020,27,0,27
geoId-LCU,2021,33,0,33
geoId-LCU,2022,61,2,59
geoId-LAN,2013,634,18,616
geoId-LAN,2014,650,24,626
geoId-LAN,2015,907,11,896
geoId-LAN,2016,871,16,855
geoId-LAN,2017,976,26,950
geoId-LAN,2018,953,20,933
geoId-LAN,2019,786,30,756
geoId-LAN,2020,803,24,779
geoId-LAN,2021,640,23,617
geoId-LAN,2022,708,23,685
geoId-LCI,2013,69,,69
geoId-LCI,2014,76,,76
geoId-LCI,2015,108,0,108
geoId-LCI,2016,94,0,94
geoId-LCI,2017,132,,132
geoId-LCI,2018,81,1,80
geoId-LCI,2019,129,1,128
geoId-LCI,2020,108,0,108
geoId-LCI,2021,167,1,166
geoId-LCI,2022,160,2,158
geoId-LDG,2013,310,10,300
geoId-LDG,2014,352,16,336
geoId-LDG,2015,433,23,410
geoId-LDG,2016,430,6,424
geoId-LDG,2017,464,24,440
geoId-LDG,2018,437,19,418
geoId-LDG,2019,346,8,338
geoId-LDG,2020,333,15,318
geoId-LDG,2021,469,25,444
geoId-LDG,2022,572,32,540
geoId-LSN,2013,84,1,83
geoId-LSN,2014,100,,100
geoId-LSN,2015,90,1,89
geoId-LSN,2016,86,0,86
geoId-LSN,2017,119,,119
geoId-LSN,2018,126,,126
geoId-LSN,2019,120,,120
geoId-LSN,2020,83,0,83
geoId-LSN,2021,123,0,123
geoId-LSN,2022,197,0,197
geoId-NDH,2013,314,3,311
geoId-NDH,2014,312,1,311
geoId-NDH,2015,357,14,343
geoId-NDH,2016,373,6,367
geoId-NDH,2017,454,10,444
geoId-NDH,2018,424,10,414
geoId-NDH,2019,499,43,456
geoId-NDH,2020,444,6,438
geoId-NDH,2021,405,9,396
geoId-NDH,2022,673,19,654
geoId-NAN,2013,283,45,238
geoId-NAN,2014,323,49,274
