"Khối nước, nước và vùng lãnh thổ",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
,8.8,27.6,66.4,85.6,108.0,137.3,158.5,179.0,234.2,312.0,410.8,558.0,759.6,962.2,939.9,1110.8,1554.7,1793.6,2109.6,2563.3,2299.0,2293.6,2515.8,2629.2,2717.5,2130.1,2546.5,2962.6
,5448.9,7255.9,9185.0,9360.3,11541.4,14482.7,15029.2,16706.1,20149.3,26485.0,32447.1,39826.2,48561.4,62685.1,57096.3,72236.7,96905.7,114529.2,132032.9,150217.1,162016.7,176580.8,215118.6,243696.8,264267.2,282628.9,336166.8,371304.2
,6.5,7.6,13.3,14.8,17.1,23.3,26.1,30.4,26.4,33.4,39.2,64.6,116.4,256.6,129.2,115.7,194.5,220.9,256.5,229.4,160.0,188.5,246.1,251.7,247.5,284.8,344.7,65.6
,74.6,125.1,265.2,335.8,421.2,479.4,511.6,571.6,754.8,1010.3,1015.8,1179.7,1431.3,1581.0,1329.2,1681.9,2398.2,3033.6,3696.3,3647.2,4645.2,4898.1,5415.1,5779.3,5756.5,4954.9,5766.0,6065.6
,689.8,1290.0,1215.9,740.9,876.4,885.9,1043.7,961.1,1024.7,1485.3,1917.0,1811.7,2234.4,2713.8,2075.6,2121.3,2149.3,2367.7,2691.5,2942.0,3256.6,2419.9,2979.2,3195.9,3205.8,3022.8,3943.2,4315.6
,3.9,2.1,2.8,2.3,5.6,5.2,5.5,7.3,8.2,8.6,11.7,23.1,71.5,109.8,89.8,111.4,156.9,290.9,391.9,370.5,275.6,416.7,703.3,1028.2,912.9,1165.7,1239.6,1037.1
,,,,,,9.7,9.8,6.8,5.8,22.1,20.1,20.6,38.2,40.0,26.4,62.0,83.6,95.3,130.4,166.7,192.4,186.7,224.8,204.2,248.8,214.7,350.6,209.7
,,,,,,5.6,21.3,13.8,34.0,57.2,41.9,9.5,10.0,102.6,107.2,80.3,190.2,91.2,43.2,55.4,39.6,26.9,38.6,25.9,52.6,38.9,30.4,36.2
,,,,,,7.3,5.3,1.4,5.7,8.7,16.6,30.8,49.8,73.7,55.9,91.6,148.9,166.8,191.7,174.0,377.6,368.6,481.2,401.1,553.8,567.1,832.0,851.7
,9.4,5.6,11.4,8.4,34.9,23.7,28.9,29.7,38.1,59.5,88.9,97.5,112.1,108.7,103.4,144.0,461.5,1065.2,1905.0,2158.8,2188.7,2631.3,3705.3,4078.9,3266.1,2882.4,3022.9,2458.8
,55.4,64.8,230.4,471.5,814.6,1272.5,1041.8,1328.3,1420.9,1884.7,2722.8,3744.7,3802.2,4351.6,2386.1,2704.0,2602.0,3208.7,3488.1,3988.2,2905.6,2864.9,3271.0,3965.9,3527.2,3620.6,4401.4,5553.5
,,,,,,20.2,28.0,20.6,28.0,34.8,76.2,60.3,49.4,143.8,89.2,111.2,68.1,115.8,124.6,81.4,46.3,38.7,37.6,40.0,42.7,19.3,16.7,26.3
,3.5,18.5,32.2,43.3,43.7,58.4,49.7,63.3,71.1,80.2,88.2,109.5,138.0,171.7,165.6,195.0,271.5,276.1,267.1,315.6,289.4,283.0,341.7,373.5,336.5,295.0,354.6,494.6
,256.7,311.2,430.7,318.1,235.7,315.9,317.2,340.2,368.7,380.1,353.1,453.0,582.5,877.2,1034.1,1464.2,2205.7,3705.4,4113.5,5264.7,6959.3,6088.1,7574.3,7957.6,7153.8,10436.7,11994.9,10936.5
,439.4,539.9,814.5,670.2,682.4,756.6,806.0,817.7,749.2,890.6,935.0,968.7,1139.4,1401.4,1120.6,1442.8,1843.3,2081.5,2223.6,2306.5,2076.4,2272.0,2568.3,3151.4,4391.4,4321.9,4587.2,5117.8
,10.4,9.1,13.2,12.6,17.0,47.2,45.4,52.0,32.3,78.6,97.8,137.8,179.7,389.0,419.6,991.6,1553.9,1782.2,2354.7,2510.7,2469.7,2687.2,3756.3,6543.8,6672.8,5235.2,6280.7,7961.8
