"Khối nước, nước và vùng lãnh thổ chủ yếu",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
,,0.2,1.0,1.1,0.7,2.0,3.1,1.8,22.7,12.1,10.4,7.3,9.0,12.7,14.2,32.1,29.0,21.9,46.7,51.3,73.4,168.4,85.4,71.5,67.4,68.2,134.5,102.6
,3.1,3.4,1.7,1.5,6.9,2.9,1.8,1.7,1.4,3.1,2.1,2.6,2.3,4.4,3.8,15.7,13.5,16.5,15.4,28.3,18.1,32.3,35.6,43.2,44.5,47.1,68.2,68.0
,6.2,1.7,1.4,0.7,0.6,4.6,10.5,3.2,4.2,8.6,10.7,6.9,8.1,15.8,12.4,10.7,10.8,11.2,11.1,17.7,25.3,35.6,44.6,49.3,44.8,61.3,46.8,45.8
,439.8,494.5,575.2,673.5,561.8,810.9,792.3,955.2,1282.2,1858.6,2374.1,3034.4,3744.2,4905.6,4471.1,5602.3,6383.6,5791.9,6283.4,7053.3,8275.5,8855.1,10702.3,12046.1,11663.2,10967.1,12592.8,14092.4
,5.8,16.5,36.7,3.0,4.8,2.0,8.0,15.6,24.8,31.4,43.0,28.3,41.6,111.0,141.0,107.7,80.2,90.1,96.1,129.0,147.3,171.4,223.0,285.7,352.3,276.0,387.3,419.8
,74.6,141.3,144.6,93.7,101.8,103.9,94.7,129.9,292.3,686.8,893.4,1357.1,1016.2,1898.6,436.1,1006.6,1771.0,398.1,409.7,367.3,437.0,505.9,598.9,684.3,719.8,594.3,623.3,622.6
,22.6,60.5,65.1,77.8,58.1,43.7,73.6,62.5,114.2,125.1,139.3,164.2,209.9,230.1,375.1,317.0,258.2,241.2,225.6,255.9,239.2,311.1,340.9,344.6,372.8,352.4,321.7,353.4
,,,,,,8.3,4.3,6.0,6.2,5.7,5.1,9.9,1.4,65.3,5.9,5.2,4.2,7.6,6.6,6.0,5.8,8.7,10.9,10.7,14.8,10.7,11.1,14.2
,,8.1,28.1,23.9,31.0,59.0,46.9,67.2,78.7,94.1,76.7,96.8,139.4,199.8,141.4,230.6,262.2,283.7,311.5,352.3,399.8,451.4,501.8,514.3,540.0,526.5,578.8,572.7
,8155.4,11143.6,11592.3,11499.6,11742.1,15636.5,16218.0,19745.6,25255.8,31968.8,36761.1,44891.1,62764.7,80713.8,69948.8,84838.6,106749.8,113780.4,132032.6,147849.1,165775.9,174978.4,213215.3,237241.6,253696.5,262791.0,332969.7,358901.9
,5.9,6.3,30.8,24.4,45.5,85.9,94.8,239.0,224.1,240.6,191.5,118.1,38.5,289.6,309.4,140.0,105.2,92.4,146.0,116.4,74.5,75.9,109.5,145.8,121.8,193.5,369.3,178.6
,50.7,83.7,103.9,96.4,109.2,149.9,171.6,166.5,219.8,227.7,182.4,202.1,237.0,386.3,342.5,511.1,646.1,542.1,570.5,644.5,737.5,724.4,747.1,976.5,871.8,691.9,861.2,771.1
,1425.2,2032.6,2128.0,1964.0,1878.5,2694.3,2478.3,2533.5,2875.8,3618.4,4482.3,6273.9,7613.7,9378.0,7015.2,4101.1,6390.6,6691.0,5685.2,6834.7,6038.3,4768.5,5318.6,4576.7,4167.0,3681.9,4289.2,4836.6
,2.3,0.9,3.3,4.7,26.4,29.4,58.7,90.0,165.4,172.2,271.2,240.8,409.4,379.1,580.2,826.3,858.9,915.5,1241.6,1715.3,2163.2,2672.2,2553.0,2452.5,3233.6,3384.7,3672.5,4031.8
,15.3,13.3,15.1,21.5,27.3,31.6,34.7,71.6,43.8,57.1,51.0,56.2,63.8,92.6,110.4,123.4,165.4,157.5,196.6,225.3,412.1,351.0,303.1,291.0,339.5,298.2,332.3,334.3
,100.6,132.8,192.6,253.9,215.7,293.5,266.4,286.3,278.0,458.8,498.5,1099.7,1059.4,1357.9,1045.9,1443.6,2123.3,1772.2,1586.0,2054.7,2039.7,2442.1,3200.1,3779.1,4480.6,4685.5,7967.6,10144.7
,,32.4,21.8,38.4,26.5,27.8,65.5,75.3,72.0,77.2,70.2,111.2,170.6,146.4,106.1,116.4,149.6,191.9,186.9,176.6,244.0,331.8,321.4,323.8,244.0,203.7,233.8,226.4
,419.0,795.4,598.9,557.3,504.7,598.1,537.6,804.8,990.9,1074.3,1235.0,1440.8,1950.7,2633.3,2120.9,860.4,969.7,969.5,1049.0,1036.9,1320.4,1500.3,1664.9,1552.0,1318.0,1113.5,1633.4,1909.6
,901.3,1263.2,1484.7,1377.6,1566.4,1879.9,2008.7,2525.3,2915.5,3698.3,4304.2,4824.9,6946.7,8362.6,6112.9,6976.9,8556.8,8534.2,9402.0,11063.6,10951.3,11241.8,12709.7,13243.3,15162.5,16702.8,20779.7,22631.4
,61.5,88.4,84.8,108.7,137.9,178.4,228.0,324.7,457.1,593.5,596.0,880.3,1357.0,2094.3,1536.1,1762.0,2346.4,2160.5,2879.3,3111.0,2655.2,2745.5,3954.6,4149.9,4528.3,4436.5,6964.3,7086.8
